"","0.5:1e-04","0.5:1e-05","0.5:1e-06","0.75:1e-04","0.75:1e-05","0.75:1e-06","0.9:1e-04","0.9:1e-05","0.9:1e-06"
"0",0,0,0,0,0,0,0,0,0
"0.01",2.62225335334598e-07,2.33707629915259e-08,2.1275435857504e-09,4.93744831686627e-08,4.39695768683634e-09,4.00012689638629e-10,8.41158298570122e-09,7.48961781482649e-10,6.81280587500055e-11
"0.02",1.08552869937384e-06,9.70354252505246e-08,8.85498574465515e-09,1.98797196926392e-07,1.77135381917992e-08,1.61222923900084e-09,3.36840449977061e-08,2.99949409754419e-09,2.72865396944155e-10
"0.03",2.58475205505704e-06,2.32198094973768e-07,2.12749831085546e-08,4.52199134026721e-07,4.03305059348824e-08,3.67357055885975e-09,7.59306899578149e-08,6.7625565147722e-09,6.15273387793991e-10
"0.04",4.96845351982689e-06,4.49439234384563e-07,4.14128537018499e-08,8.16243404866412e-07,7.28947123773693e-08,6.64687105356165e-09,1.35340905482728e-07,1.20564747074781e-08,1.0971278330274e-09
"0.05",8.56687766592756e-06,7.81880612810149e-07,7.25701786441491e-08,1.30049520086217e-06,1.16337832922753e-07,1.0622872137489e-08,2.12180987890775e-07,1.89070314959849e-08,1.72092762262821e-09
"0.06",1.38758134174966e-05,1.28026887435961e-06,1.19886881533304e-07,1.91766535684312e-06,1.71903349333036e-07,1.57231047070994e-08,3.06795301163731e-07,2.73475933010303e-08,2.4899091677355e-09
"0.07",2.16215679558207e-05,2.02073680677373e-06,1.91219031830947e-07,2.68393325197902e-06,2.41182555371644e-07,2.2103753494207e-08,4.19607774748698e-07,3.74192755669966e-08,3.4080631650113e-09
"0.08",3.28545514793888e-05,3.11638287187055e-06,2.98483284089102e-07,3.61935661419288e-06,3.26160613739468e-07,2.99606316422896e-08,5.51123747638549e-07,4.91711450445464e-08,4.48015657905643e-09
"0.09",4.90818356804201e-05,4.734336787382e-06,4.59697079513433e-07,4.74837774999681e-06,4.29273982915923e-07,3.95354265991799e-08,7.01932164615116e-07,6.26604621523086e-08,5.71175851060701e-09
"0.1",7.24526602176034e-05,7.12070976205403e-06,7.02058315038556e-07,6.100437858092e-06,5.53480844156518e-07,5.1123421274113e-08,8.72708133203837e-07,7.79529634176157e-08,7.10926950642232e-09
"0.11",0.000106015337460907,1.06368358399056e-05,1.06657579324043e-06,7.71071342098306e-06,7.02346521941344e-07,6.5082943589978e-08,1.06421585455152e-06,9.51231859946944e-08,8.67995719744385e-09
"0.12",0.000154069416392733,1.58115870152464e-05,1.61500561679517e-06,9.62099124679483e-06,8.80146299064855e-07,8.18468494090396e-08,1.27731193566571e-06,1.14254834815419e-07,1.04319950455789e-08
"0.13",0.000222643283539492,2.34163991279512e-05,2.44020080508722e-06,1.18807015873079e-05,1.09198850029024e-06,1.01936413643422e-07,1.51294910044619e-06,1.35441195814323e-07,1.23745065305769e-08
