"","0.5:1e-04","0.5:1e-05","0.5:1e-06","0.75:1e-04","0.75:1e-05","0.75:1e-06","0.9:1e-04","0.9:1e-05","0.9:1e-06"
"0",0,0,0,0,0,0,0,0,0
"0.01",1.44938592128163e-07,1.29119263059252e-08,1.17500775775881e-09,2.74036127123622e-08,2.44017628325821e-09,2.21979656878091e-10,4.67232608158952e-09,4.16014889204064e-10,3.78416187274411e-11
"0.02",5.90947579537371e-07,5.27318604337523e-08,4.80515349732258e-09,1.10014701792949e-07,9.79942060830297e-09,8.91668405778034e-10,1.87009402408123e-08,1.66518465682941e-09,1.51475609833085e-10
"0.03",1.37244538467307e-06,1.22804499014251e-07,1.1215598783032e-08,2.49039697530762e-07,2.21945026801507e-08,2.02038230590063e-09,4.21207791978517e-08,3.75088826665149e-09,3.41228933997684e-10
"0.04",2.54965038859467e-06,2.29019577413503e-07,2.09818716845334e-08,4.46508317875072e-07,3.98221231545648e-08,3.62720187219168e-09,7.49901643004591e-08,6.67876731696992e-09,6.07648376060865e-10
"0.05",4.21307000342264e-06,3.80312661696358e-07,3.49836452029351e-08,7.05302332426605e-07,6.2962075886297e-08,5.73930858394078e-09,1.17390942744322e-07,1.04567418057755e-08,9.51500989110343e-10
"0.06",6.49021217480339e-06,5.89424348662604e-07,5.4487136358361e-08,1.02919636302268e-06,9.1981745886649e-08,8.39246305783803e-09,1.69428685858897e-07,1.50950318911214e-08,1.37377753617329e-09
"0.07",9.55497364552027e-06,8.73981306104277e-07,8.12640318370583e-08,1.42291125460048e-06,1.27342014488718e-07,1.16316354326074e-08,2.31232944014614e-07,2.06061854246542e-08,1.8756947106624e-09
"0.08",1.36403290418308e-05,1.25798870143079e-06,1.1775831598726e-07,1.89218071799946e-06,1.69604665756218e-07,1.55117982902908e-08,3.02957560038841e-07,2.70051130346616e-08,2.45869880011185e-09
"0.09",1.90551454569698e-05,1.7738563165004e-06,1.67316896448888e-07,2.44383211345234e-06,2.19441413151777e-07,2.0098896991172e-08,3.84781040474458e-07,3.43091284271679e-08,3.12447057115861e-09
"0.1",2.62061863619545e-05,2.4651222287897e-06,2.34505883711655e-07,3.08588242181607e-06,2.77644689239409e-07,2.54710154079518e-08,4.76906987234571e-07,4.25379961255246e-08,3.87492993247918e-09
"0.11",3.56266541553518e-05,3.39009101113508e-06,3.25542301449211e-07,3.82765064266266e-06,3.45140368396279e-07,3.1719757598303e-08,5.79564589098247e-07,5.17139855382709e-08,4.71224148590466e-09
"0.12",4.80129600318735e-05,4.62667116207793e-06,4.48881535275447e-07,4.67988805952224e-06,4.2300262592665e-07,3.89518703958203e-08,6.930091747126e-07,6.18619319103786e-08,5.63882140980354e-09
"0.13",6.42718098685657e-05,6.27878275716309e-06,6.16014831922307e-07,5.65492802750978e-06,5.12471164948458e-07,4.72911367843665e-08,8.17522828211459e-07,7.30093046019675e-08,6.65734478655367e-09
"0.14",8.55801606151063e-05,8.48481563930914e-06,8.42549726765007e-07,6.76685717149184e-06,6.14971082391058e-07,5.6880573917617e-08,9.53415069560037e-07,8.51862822504046e-08,7.77075315205877e-09
"0.15",0.000113461135474946,1.1428756132803e-05,1.14967081188411e-06,8.03171013485926e-06,7.3213568396735e-07,6.78849757518307e-08,1.10102359984765e-06,9.8425835481919e-08,8.98226371059963e-09
"0.16",0.000149879585777946,1.5354772284093e-05,1.56611053003797e-06,9.46769028409289e-06,8.6583260239248e-07,8.04938461440585e-08,1.26071511408199e-06,1.12763817061712e-07,1.0295378882752e-08
