"","0.5:1e-04","0.5:1e-05","0.5:1e-06","0.75:1e-04","0.75:1e-05","0.75:1e-06","0.9:1e-04","0.9:1e-05","0.9:1e-06"
"0.17",0.00019736164407258,2.05862607030038e-05,2.1308019256816e-06,1.10954190718493e-05,1.01819362241518e-06,9.49247737080938e-08,1.43288618348336e-06,1.28239060259716e-07,1.17138969635278e-08
"0.18",0.000259143308752319,2.75506193432307e-05,2.89644027728908e-06,1.29382170696024e-05,1.19164867051769e-06,1.11427311821899e-07,1.61796420850013e-06,1.44893485320985e-07,1.32419233356273e-08
"0.19",0.000339353805447251,3.68113273221393e-05,3.93425166123063e-06,1.50224200278215e-05,1.38896448942383e-06,1.30287430510911e-07,1.81640844476583e-06,1.62772214373774e-07,1.48838831259823e-08
"0.2",0.000443240138989442,4.9109291963334e-05,5.34035788657405e-06,1.73777336845982e-05,1.61328858294674e-06,1.518326206984e-07,2.02871110488445e-06,1.81923694553277e-07,1.66445341953647e-08
"0.21",0.000577439817480818,6.54158702525498e-05,7.24424376485899e-06,2.00376314450912e-05,1.86819909420155e-06,1.76437742305247e-07,2.25539853815349e-06,2.02399831006339e-07,1.85289815712864e-08
"0.22",0.000750309109963765,8.70004899738985e-05,9.81998005278317e-06,2.30397994802622e-05,2.15776136192058e-06,2.04531718339673e-07,2.49703249044497e-06,2.24256129111033e-07,2.05426931021435e-08
"0.23",0.000972314279412023,0.00011551638410523,1.33010400910072e-05,2.6426634256782e-05,2.48659199686418e-06,2.36605194658956e-07,2.75421144746435e-06,2.47551846022098e-07,2.26915155554508e-08
"0.24",0.00125649287465235,0.000153108603757834,1.79997773341878e-05,3.02457980069226e-05,2.85993141724283e-06,2.73219299185001e-07,3.0275720641626e-06,2.72350153318612e-07,2.49816926034541e-08
"0.25",0.00161899120393894,0.000202549174704414,2.43329121668578e-05,3.45508381788262e-05,3.28372590585602e-06,3.15015654783757e-07,3.31779068363236e-06,2.98718309532653e-07,2.74198834748773e-08
"0.26",0.0020796823626974,0.000267404983567365,3.28547172070426e-05,3.94018774804161e-05,3.76472037033615e-06,3.62727819336328e-07,3.62558494793053e-06,3.26727844224273e-07,3.00131829389372e-08
"0.27",0.00266286644774749,0.000352244680497993,4.4299997585262e-05,4.48663817370631e-05,4.31056313832112e-06,4.17194353619088e-07,3.95171550626738e-06,3.5645475371382e-07,3.27691431767363e-08
"0.28",0.00339805065857857,0.000462891505854546,5.96394416909618e-05,5.10200134323791e-05,4.92992426859296e-06,4.79373739148414e-07,4.29698782122845e-06,3.87979708804664e-07,3.56957962077686e-08
"0.29",0.00432080167999405,0.000606729407494955,8.01504708319856e-05,5.79475794905138e-05,5.63262903863215e-06,5.50361405893263e-07,4.66225408024545e-06,4.21388275273493e-07,3.88016782038036e-08
"0.3",0.00547365592144822,0.000793070006875674,0.000107507340623147,6.57440825838629e-05,6.42980845622088e-06,6.31409157070273e-07,5.04841521375976e-06,4.56771147683277e-07,4.20958558011719e-08
"0.31",0.00690706479594894,0.00103358776402462,0.000143894933151922,7.45158860157025e-05,7.33406885577992e-06,7.23947323089114e-07,5.45642302607341e-06,4.94224397074028e-07,4.55879528571401e-08
"0.32",0.00868034231071846,0.0013428299256425,0.000192151407745533,8.43820030309583e-05,8.35968287371536e-06,8.29610014907445e-07,5.88728244221848e-06,5.33849733419522e-07,4.9288180203888e-08
"0.33",0.0108625710256723,0.00173880633642598,0.000255945617257169,9.54755222446479e-05,9.52280434862729e-06,9.50263901566828e-07,6.34205387650688e-06,5.75754783183058e-07,5.32073660686194e-08
"0.34",0.0135334103257874,0.00224366175504243,0.0003399958975846,0.000107945181743396,1.084170997534e-05,1.08804098775117e-06,6.82185572775662e-06,6.20053382749397e-07,5.73569893802528e-08
"0.35",0.0167837385953794,0.00288442974350411,0.000450337432086778,0.000121957105314485,1.23370708485782e-05,1.24537593171326e-06,7.32786700519128e-06,6.66865889065171e-07,6.17492144083798e-08
"0.36",0.0207160491790134,0.00369386230707502,0.000594645787980186,0.000137696715169389,1.40322573634055e-05,1.42504851252667e-06,7.8613300921182e-06,7.16319507487739e-07,6.63969275116472e-08
"0.37",0.0254445101272437,0.00471132310543865,0.000782624301415735,0.000155370836460333,1.59536813091332e-05,1.63023193389122e-06,8.4235536521593e-06,7.68548638285793e-07,7.13137763286298e-08
"0.38",0.0310945910501915,0.00598372415856385,0.00102646260807782,0.000175210009824234,1.81311793870931e-05,1.86454773976052e-06,9.01591568436277e-06,8.23695242568867e-07,7.65142116332385e-08
"0.39",0.0378021585018882,0.00756647656246723,0.00134137260821288,0.0001974710291196,2.0598442816433e-05,2.13212821231767e-06,9.63986673319095e-06,8.81909228422906e-07,8.20135305223957e-08
"0.4",0.0457119458210172,0.00952441498641499,0.00174620633036537,0.000222439722437739,2.33934981558326e-05,2.43768723551252e-06,1.02969332607117e-05,9.43348858473136e-07,8.78279234894919e-08
"0.41",0.0549753158016076,0.0119326440047605,0.00226415731744012,0.00025043399535063,2.65592449757435e-05,2.78660072405845e-06,1.09887211864335e-05,1.0081811796514e-06,9.39745232741984e-08
"0.42",0.0657472562284102,0.0148772422041836,0.00292354310660337,0.000281807156198188,3.01440565558808e-05,3.18499785778581e-06,1.17169196043321e-05,1.07658247727738e-06,1.00471457376017e-07
"0.43",0.0781825799615931,0.0184557483245801,0.0037586609402569,0.000316951543986144,3.42024503660054e-05,3.63986450646614e-06,1.24833046811768e-05,1.14873875234345e-06,1.07337902566229e-07
"0.44",0.0924313429480585,0.022777343511678,0.00481070190987409,0.000356302480148285,3.87958357103146e-05,4.15916040108488e-06,1.3289743747591e-05,1.22484622644414e-06,1.14594144062785e-07
"0.45",0.108633544391633,0.0279626363813558,0.00612870026361956,0.000400342566001965,4.39933465802289e-05,4.75195178883947e-06,1.41381995877321e-05,1.30511187257376e-06,1.22261636259502e-07
"0.46",0.126913231351813,0.0341429544920059,0.00777048469021446,0.000449606348157161,4.98727684653533e-05,5.42856151553028e-06,1.50307349356948e-05,1.38975397545593e-06,1.30363068784334e-07
"0.47",0.147372192100528,0.0414590485440496,0.00980358727458019,0.000504685374405733,5.65215686183507e-05,6.20073870127857e-06,1.59695171902952e-05,1.47900272107204e-06,1.38922435444222e-07
"0.48",0.17008348434521,0.050059125672303,0.0123060539527143,0.0005662336626856,6.40380400582785e-05,7.08185042797016e-06,1.69568233541195e-05,1.57310081883022e-06,1.47965107055725e-07
"0.49",0.195085100660741,0.06009614683871,0.0153670883487889,0.000634973605541211,7.25325704161728e-05,8.0870981256087e-06,1.79950452084965e-05,1.67230415570874e-06,1.57517908494498e-07
"0.5",0.222374118280559,0.0717243514150521,0.0190874497737986,0.000711702332058417,8.21290475913061e-05,9.23376164707612e-06,1.90866947337165e-05,1.77688248559349e-06,1.67609201073837e-07
"0.51",0.251901707774522,0.085095009773677,0.0235795170552296,0.00079729854849131,9.29664150755016e-05,1.05414743480914e-05,2.02344097851581e-05,1.88712015602999e-06,1.78268967920836e-07
"0.52",0.283569379584047,0.100351451444182,0.0289669241046017,0.000892729877674747,0.000105200390719262,1.2032532847428e-05,2.14409600359788e-05,2.00331687139066e-06,1.89528906346936e-07
"0.53",0.317226824583352,0.117623470507107,0.0353836721979006,0.000999060715792699,0.000119005363657165,1.37322455359135e-05,2.27092531970285e-05,2.12578849867473e-06,2.01422523327111e-07
"0.54",0.352671652362692,0.137021268649891,0.0429726293478596,0.00111746062308449,0.000134576485055993,1.56693243237305e-05,2.40423415275304e-05,2.25486791327612e-06,2.13985237973446e-07
"0.55",0.389651248835824,0.158629155892042,0.0518833402663375,0.00124921326258676,0.000152131969309077,1.7876324583721e-05,2.54434286457439e-05,2.39090589126967e-06,2.27254489448825e-07
"0.56",0.427866865988427,0.1824992846424,0.0622690923247416,0.00139572589796055,0.000171915623249252,2.0390138741333e-05,2.69158766553756e-05,2.53427204655043e-06,2.41269850431713e-07
"0.57",0.466979927034816,0.20864573907418,0.0742832141914033,0.00155853945779949,0.000194199621877167,2.32525495053038e-05,2.84632135983953e-05,2.68535581815499e-06,2.56073147908431e-07
"0.58",0.506620388642166,0.237039333159426,0.0880746243224318,0.00173933916950231,0.000219287550002556,2.65108493122668e-05,3.00891412486903e-05,2.84456750843098e-06,2.71708590182662e-07
"0.59",0.54639685910837,0.267603481781994,0.103782695188344,0.00193996576076472,0.000247517730030844,3.02185331789717e-05,3.179754326188e-05,3.01233937471945e-06,2.88222901323465e-07
"0.6",0.585908039595073,0.300211495782286,0.121531554003905,0.00216242722096904,0.000279266856901605,3.44360728203874e-05,3.35924936928356e-05,3.18912677899075e-06,3.05665463051774e-07
"0.61",0.624754946942822,0.334685610796418,0.141423998710022,0.002408911108159,0.000314953961857101,3.92317806021669e-05,3.54782658997799e-05,3.37540939510106e-06,3.24088464953576e-07
"0.62",0.662553302194133,0.370797990708349,0.163535264962427,0.00268179737986685,0.000355044727275211,4.46827726403587e-05,3.74593418476232e-05,3.57169247966471e-06,3.43547062686689e-07
"0.63",0.698945437127366,0.408273851374871,0.187906931047232,0.0029836717177586,0.00040005617520833,5.08760411591647e-05,3.95404218284101e-05,3.77850820798553e-06,3.64099545624441e-07
"0.64",0.733611086607389,0.446796733697211,0.214541287641607,0.00331733930686484,0.000450561752497358,5.79096470449958e-05,4.17264346153079e-05,3.9964170781559e-06,3.85807513603176e-07
"0.65",0.766276497743267,0.486015824419742,0.243396522838975,0.00368583902005781,0.000507196835345836,6.58940444060452e-05,4.40225480675682e-05,4.22600938787543e-06,4.08736063661763e-07
"0.66",0.796721393424147,0.525555087746499,0.274383075083777,0.0040924579474052,0.000570664676007748,7.49535498525411e-05,4.64341802040025e-05,4.46790678609865e-06,4.32953987106188e-07
"0.67",0.824783469158059,0.565023841925051,0.307361483985072,0.00454074619810507,0.000641742813717872,8.52279701426539e-05,4.89670107648443e-05,4.72276390395265e-06,4.58533978120457e-07
"0.68",0.85036026613769,0.604028303718433,0.342142019508434,0.00503453188989911,0.000721289971141181,9.68744028008173e-05,5.1626993279652e-05,4.99127006925448e-06,4.85552853590754e-07
"0.69",0.873408435750526,0.642183540780954,0.378486294104743,0.00557793622721769,0.000810253456389742,0.000110069225284448,5.44203676626775e-05,5.27415110707086e-06,5.14091785031034e-07
"0.7",0.893940576324302,0.67912522603896,0.416110962767417,0.00617538855490796,0.000909677089001137,0.000125010289261152,5.73536733554647e-05,5.57217123264842e-06,5.44236544386401e-07
"0.71",0.912019967719825,0.714520584911458,0.45469349824341,0.00683164125930413,0.00102070966614842,0.000141919337532159,6.04337630375484e-05,5.88613503871294e-06,5.76077762493021e-07
"0.72",0.927753641905693,0.748077967455267,0.493879900438187,0.00755178437274118,0.00114461398270749,0.000161044662103316,6.36678169286808e-05,6.21688958446498e-06,6.09711202526064e-07
"0.73",0.941284299986378,0.779554560978778,0.533294070051144,0.00834125972152011,0.00128277641558405,0.000182664022833734,6.70633577031232e-05,6.56532658827036e-06,6.45238048657681e-07
"0.74",0.952781614769455,0.808761877947296,0.572548457268788,0.00920587444096854,0.0014367170788635,0.000207087846976539,7.06282660418722e-05,6.93238473115088e-06,6.82765210369141e-07
"0.75",0.96243344379896,0.835568799202728,0.611255497541382,0.0101518136647946,0.00160810055182592,0.000234662730742685,7.43707968438034e-05,7.31905207562722e-06,7.22405643971413e-07
"0.76",0.970437425876415,0.859902111236641,0.649039277574683,0.0111856521796297,0.00179874717663109,0.000265775264741919,7.82995961237098e-05,7.72636860502107e-06,7.64278692111375e-07
"0.77",0.976993352672279,0.881744634889786,0.68554684299027,0.0123143648197409,0.00201064491647052,0.000300856205769251,8.24237186205501e-05,8.15542888943366e-06,8.08510441596688e-07
"0.78",0.982296606355424,0.901131188065552,0.720458568854233,0.0135453353616473,0.00224596175816882,0.000340385017872036,8.67526461427737e-05,8.60738488406287e-06,8.55234101093671e-07
"0.79",0.986532845201591,0.918142745175412,0.753497065949424,0.0148863636641067,0.00250705863555978,0.00038489480592685,9.12963066782568e-05,9.0834488662983e-06,9.04590400252481e-07
"0.8",0.989874012292626,0.932899242276971,0.784434185859596,0.0163456707859754,0.00279650284142896,0.000434977665046299,9.60650942962715e-05,9.58489651825545e-06,9.56728009926522e-07
"0.81",0.992475646488145,0.94555152409081,0.813095809557206,0.0179319018031533,0.00311708188640081,0.000491290468978223,0.000101069889869909,1.01130701605223e-05,1.01180398626166e-06
"0.82",0.994475396306031,0.956272936184522,0.839364247139027,0.0196541260365766,0.00347181775282213,0.000554561120221342,0.000106322082648269,1.06693821456672e-05,1.06998423854421e-06
"0.83",0.995992579968535,0.965251035368684,0.863178228555135,0.0215218343964183,0.00386398148048905,0.000625595283817448,0.000111833592709942,1.12553184180575e-05,1.13144402347221e-06
"0.84",0.997128599771774,0.972679829834504,0.884530613829856,0.023544933543704,0.00429710800896599,0.000705283625648256,0.000117616894326211,1.18724422467631e-05,1.19636846562798e-06
"0.85",0.997968004900265,0.978752876223594,0.903464084211534,0.0257337365698675,0.00477501118832369,0.00079460957450983,0.00012368504026794,1.25223981420897e-05,1.26495310714958e-06
"0.86",0.998580000834274,0.983657463355063,0.920065182628624,0.0280989498977683,0.00530179885639992,0.000894657625225337,0.000130051687087684,1.32069159611836e-05,1.33740448715614e-06
"0.87",0.999020221463981,0.987570011537502,0.934457145378441,0.0306516561147819,0.00588188786625721,0.0010066221975199,0.000136731121410882,1.39278152128108e-05,1.41394075248158e-06
"0.88",0.99933260735116,0.990652721111658,0.946792003263346,0.0334032924601466,0.00652001893246479,0.00113181706228582,0.00014373828726888,1.46870095713014e-05,1.49479230193705e-06
"0.89",0.99955126581283,0.993051421201182,0.957242429275849,0.0363656247051555,0.00722127114928206,0.00127168534314437,0.000151088814511646,1.54865116063219e-05,1.58020246565638e-06
"0.9",0.999702221757653,0.994894504443531,0.965993774766101,0.0395507161863785,0.00799107601792415,0.00142781009683146,0.000158799048331493,1.632843774102e-05,1.67042822074581e-06
"0.91",0.999804999446353,0.996292788166268,0.973236673017806,0.0429708917791302,0.00883523080400805,0.0016019254708266,0.000166886079939532,1.72150134476468e-05,1.76574094656878e-06
"0.92",0.999874002492998,0.997340117224371,0.979160506494239,0.0466386966311163,0.00975991103021723,0.00179592843078968,0.000175367778426971,1.81485786900915e-05,1.86642721988761e-06
"0.93",0.999919681328548,0.998114516780233,0.983947940802214,0.0505668495147393,0.0107716818934026,0.00201189104370114,0.000184262823853421,1.91315936264314e-05,1.97278965341496e-06
"0.94",0.999949493671185,0.99867971157823,0.987770633647846,0.054768190700982,0.0118775083800237,0.0022520732951008,0.000193590741598415,2.01666445815984e-05,2.08514777944036e-06
"0.95",0.99996867456838,0.999086847846101,0.990786138683208,0.0592556243081251,0.0130847638392947,0.00251893641045686,0.000203371938017116,2.1256450302487e-05,2.20383898064114e-06
"0.96",0.999980838985358,0.999376280733192,0.993135948413629,0.0640420551346409,0.0144012367599599,0.00281515664143728,0.000213627737438715,2.24038685067152e-05,2.32921947163067e-06
"0.97",0.999988442624437,0.999579320310366,0.994944561387825,0.0691403200472279,0.0158351354845941,0.00314363946771745,0.000224380420551062,2.36119027405834e-05,2.46166533168779e-06
"0.98",0.999993126638132,0.9997198593413,0.996319418652066,0.0745631140617579,0.0173950905850868,0.00350753415391514,0.000235653264210267,2.48837095561116e-05,2.60157359377455e-06
"0.99",0.999995970053693,0.99981583381277,0.99735153279385,0.080322911326401,0.0190901546148611,0.00391024858933653,0.000247470582719567,2.62226060236959e-05,2.74936339095255e-06
"1",0.999997670831087,0.999880490954727,0.99811662803014,0.0864318812918027,0.0209297989478278,0.00435546432546674,0.000259857770619432,2.76320775929317e-05,2.9054771645276e-06
"1.01",0.999998673134937,0.999923458361201,0.998676618724774,0.0929018004321296,0.0229239074114338,0.00484715171260386,0.000272841347032204,2.91157863177016e-05,3.07038193503306e-06
"1.02",0.999999255045593,0.999951621683029,0.999081272812086,0.0997439599622393,0.0250827664218597,0.00538958502278208,0.00028644900160546,3.0677579459959e-05,3.24457064160288e-06
"1.03",0.999999587842117,0.999969827548296,0.999369932072872,0.106969070079136,0.0274170513338348,0.00598735743125745,0.000300709642098829,3.23214984887521e-05,3.42856355184384e-06
"1.04",0.999999775310378,0.999981433545197,0.999573189534493,0.11458716133914,0.0299378087260463,0.00664539571345357,0.000315653443659025,3.40517884908076e-05,3.62290974564861e-06
"1.05",0.999999879317842,0.999988729104343,0.999714452490834,0.122607483864563,0.0326564343560921,0.00736897449852048,0.000331311899827602,3.58729080099929e-05,3.82818867750156e-06
"1.06",0.999999936144315,0.999993250800743,0.999811345529645,0.131038405153846,0.0355846465366814,0.00816372990472924,0.000347717875328613,3.77895393325334e-05,4.04501182060812e-06
"1.07",0.999999966718038,0.999996013750079,0.999876930058093,0.13988730734559,0.0387344547076323,0.00903567236598646,0.000364905660680814,3.98065992380792e-05,4.27402439673319e-06
"1.08",0.999999982914483,0.999997678065008,0.999920734398455,0.149160484858272,0.0421181230063657,0.00999119844303709,0.000382911028681598,4.19292502336077e-05,4.51590719685591e-06
"1.09",0.999999991361969,0.999998666280948,0.999949601456482,0.158863043392117,0.0457481286732573,0.0110371013976841,0.000401771292808606,4.41629122908127e-05,4.7713784964154e-06
"1.1",0.999999995699421,0.999999244623274,0.999968369568333,0.168998801336047,0.049637115167473,0.0121805802938496,0.000421525367584885,4.65132751077402e-05,5.04119607003251e-06
"1.11",0.999999997891744,0.999999578201902,0.999980407023443,0.179570194669348,0.0537978399138193,0.0134292473758528,0.000442213830956106,4.89863109142119e-05,5.3261593109255e-06
"1.12",0.999999998982433,0.999999767809281,0.999988022700087,0.190578186483178,0.0582431166516117,0.0147911334621974,0.000463878988723465,5.15882878440177e-05,5.6271114593498e-06
"1.13",0.999999999516489,0.999999874008175,0.999992775023818,0.202022182269846,0.0629857524124644,0.0162746910827937,0.000486564941081458,5.43257838950817e-05,5.94494194616768e-06
"1.14",0.999999999773842,0.999999932616157,0.999995699792601,0.213899952136715,0.0680384792149203,0.0178887950792548,0.000510317651304604,5.72057015024718e-05,6.28058885732141e-06
"1.15",0.999999999895878,0.999999964482346,0.999997474920517,0.226207561095398,0.0734138806296408,0.0196427403820693,0.000535185016629303,6.02352827450137e-05,6.63504152376149e-06
"1.16",0.99999999995282,0.999999981551224,0.999998537313643,0.238939308554656,0.0791243134388998,0.0215462366754585,0.000561216941377563,6.34221252137079e-05,7.00934324482372e-06
"1.17",0.999999999978961,0.999999990557524,0.999999164250083,0.252087678106433,0.0851818246877897,0.0236093996609557,0.000588465412364569,6.67741985634906e-05,7.40459414949601e-06
"1.18",0.999999999990768,0.999999995238322,0.999999529012349,0.26564329863808,0.0915980645010681,0.0258427386345766,0.000616984576637614,7.02998617780892e-05,7.82195420412357e-06
"1.19",0.999999999996014,0.999999997634346,0.999999738235709,0.279594917730056,0.0983841951180998,0.0282571401002666,0.000646830821586342,7.40078811712896e-05,8.26264637132645e-06
"1.2",0.999999999998307,0.999999998842233,0.999999856537235,0.29392938820702,0.105550796677869,0.0308638471544449,0.000678062857469852,7.79074491547016e-05,8.72795993012154e-06
"1.21",0.999999999999292,0.999999999441875,0.999999922472342,0.308631668601942,0.113107770365449,0.0336744343932588,0.000710741802399162,8.20082037994441e-05,9.21925396168977e-06
"1.22",0.999999999999709,0.999999999735,0.999999958692959,0.323684838168104,0.121064239609448,0.0367007781158731,0.000744931269817561,8.63202492202841e-05,9.73796101189084e-06
"1.23",0.999999999999882,0.999999999876084,0.999999978302824,0.339070126933924,0.129428450095445,0.0399550216240141,0.000780697458516277,9.08541768135374e-05,1.02855909357435e-05
"1.24",0.999999999999953,0.999999999942939,0.999999988765433,0.354766961141613,0.138207669432011,0.0434495354502091,0.000818109245223075,9.56210873787056e-05,1.08637349345297e-05
"1.25",0.999999999999982,0.999999999974127,0.999999994266152,0.370753024244667,0.147408087372095,0.0471968723848493,0.000857238279799444,0.000100632614155272,1.14740697941818e-05
"1.26",0.999999999999993,0.999999999988449,0.99999999711573,0.387004333462978,0.157034717551929,0.0512097172153664,0.000898159083080996,0.00010590094680718,1.21183623327248e-05
"1.27",0.999999999999997,0.999999999994923,0.999999998570154,0.40349533171041,0.16709130176077,0.0555008311394093,0.000940949147390957,0.000111438856388868,1.27984740686538e-05
"1.28",0.999999999999999,0.999999999997803,0.999999999301494,0.420198994520468,0.177580217796228,0.0600829908677716,0.000985689039759041,0.000117259721326035,1.35163661190152e-05
"1.29",1,0.999999999999064,0.999999999663765,0.437086951404083,0.188502391990421,0.0649689224917142,0.00103246250786992,0.000123377554445692,1.42741043374084e-05
"1.3",1,0.999999999999608,0.999999999840532,0.454129620882524,0.199857217510287,0.0701712302528672,0.00108135658876829,0.000129807031092777,1.50738647038962e-05
"1.31",1,0.999999999999838,0.999999999925488,0.471296358251105,0.211642479540112,0.0757023204216193,0.00113246172034165,0.00013656351836755,1.59179389779274e-05
"1.32",1,0.999999999999934,0.999999999965702,0.488555614948821,0.223854288444493,0.0815743205611934,0.00118587185559804,0.000143663105523051,1.68087406252626e-05
"1.33",1,0.999999999999974,0.999999999984449,0.505875108238546,0.236487021984888,0.0877989945287736,0.00124168457975726,0.000151122635559053,1.77488110320034e-05
"1.34",1,0.99999999999999,0.999999999993055,0.523221999745059,0.249533277621868,0.0943876536412278,0.00130000123016483,0.000158959738052356,1.87408260184929e-05
"1.35",1,0.999999999999996,0.999999999996945,0.54056308125682,0.262983835877852,0.101351064510254,0.00136092701903778,0.000167192863262056,1.9787602665744e-05
"1.36",1,0.999999999999998,0.999999999998677,0.557864966074944,0.276827635661321,0.10869935412906,0.00142457115904837,0.000175841317551328,2.08921064690504e-05
"1.37",1,0.999999999999999,0.999999999999436,0.575094284091808,0.291051762363499,0.116441912868904,0.00149104699174307,0.000184925300165339,2.20574588316591e-05
"1.38",1,1,0.999999999999763,0.59221787870408,0.305641449432535,0.124587296117634,0.0015604721187944,0.000194465941407373,2.32869449158235e-05
"1.39",1,1,0.999999999999902,0.609203003612954,0.320580094009336,0.133143125362572,0.00163296853607608,0.000204485342257366,2.45840218634497e-05
"1.4",1,1,0.99999999999996,0.626017517538928,0.33584928707421,0.142115989585299,0.00170866277054704,0.000215006615471913,2.59523274046547e-05
"1.41",1,1,0.999999999999984,0.642630074880835,0.351428858405838,0.151511347894715,0.00178768601992529,0.000226053928213954,2.73956888707794e-05
"1.42",1,1,0.999999999999994,0.659010310379329,0.367296936495695,0.161333434375844,0.00187017429512659,0.000237652546253075,2.89181326268428e-05
"1.43",1,1,0.999999999999998,0.675129015903623,0.383430023393242,0.171585166173804,0.00195626856543651,0.000249828879782199,3.05238939436459e-05
"1.44",1,1,0.999999999999999,0.690958307566172,0.399803084283137,0.182268055863989,0.0020461149063804,0.000262610530896712,3.22174273269527e-05
"1.45",1,1,1,0.706471781482454,0.416389651416787,0.193382129179339,0.00213986465024485,0.000276026342780344,3.40034173222925e-05
"1.46",1,1,1,0.721644656629943,0.433161941840244,0.204925849172807,0.00223767453920454,0.000290106450644867,3.58867898161419e-05
"1.47",1,1,1,0.736453903420017,0.450090988181053,0.216896047886484,0.00233970688099205,0.00030488233446968,3.78727238526944e-05
"1.48",1,1,1,0.750878356776174,0.467146781581189,0.229287866577711,0.00244612970705094,0.000320386873587708,3.99666639883112e-05
"1.49",1,1,1,0.764898812708683,0.484298425694591,0.242094705516137,0.00255711693309535,0.00033665440316577,4.21743332050806e-05
"1.5",1,1,1,0.778498107586363,0.501514300508942,0.255308184313746,0.00267284852199789,0.000353720772624855,4.45017464059116e-05
"1.51",1,1,1,0.791661179527006,0.518762234605069,0.268918113682232,0.00279351064891686,0.000371623406048016,4.69552245138116e-05
"1.52",1,1,1,0.804375111555408,0.536009684336308,0.282912479428717,0.00291929586856343,0.000390401364624204,4.95414092005486e-05
"1.53",1,1,1,0.816629156408124,0.553223918296922,0.297277439402271,0.00305040328450445,0.000410095411173539,5.22672782686806e-05
"1.54",1,1,1,0.828414743093012,0.570372205355663,0.311997333990534,0.00318703872038306,0.000430748076801102,5.51401617119307e-05
"1.55",1,1,1,0.839725465535755,0.587422004459275,0.327054710638891,0.00332941489293237,0.000452403729727213,5.81677584817752e-05
"1.56",1,1,1,0.850557053860908,0.604341154363465,0.342430362725568,0.00347775158664643,0.000475108646338707,6.13581539848918e-05
