Sample,Object Id,XMin,XMax,YMin,YMax,probe,copies,marker,cluster,probe2,copies_rank,rank_cut
Br8433,9415,7871,7918,7731,7763,520,208,POU4F1,Hb,520 POU4F1 (Hb),7,"(0,100]"
Br8433,12024,5131,5167,10401,10440,520,208,POU4F1,Hb,520 POU4F1 (Hb),7,"(0,100]"
Br8433,14443,3269,3307,12277,12311,520,208,POU4F1,Hb,520 POU4F1 (Hb),7,"(0,100]"
Br9090,7879,4844,4890,11686,11717,520,120,POU4F1,Hb,520 POU4F1 (Hb),7,"(0,100]"
Br6462,6187,6174,6220,7289,7338,520,142,POU4F1,Hb,520 POU4F1 (Hb),7.5,"(0,100]"
Br6462,7020,5013,5053,7908,7952,520,142,POU4F1,Hb,520 POU4F1 (Hb),7.5,"(0,100]"
Br8112,3790,7275,7312,9077,9063,520,319,POU4F1,Hb,520 POU4F1 (Hb),8,"(0,100]"
Br9090,8319,3972,4002,12081,12124,520,111,POU4F1,Hb,520 POU4F1 (Hb),8,"(0,100]"
Br8112,9651,3286,3312,4481,4464,520,315,POU4F1,Hb,520 POU4F1 (Hb),9,"(0,100]"
Br9090,7402,4063,4099,11417,11455,520,109,POU4F1,Hb,520 POU4F1 (Hb),9,"(0,100]"
Br8433,7818,5193,5230,7189,7232,520,207,POU4F1,Hb,520 POU4F1 (Hb),9.5,"(0,100]"
Br8433,9197,3062,3092,7843,7876,520,207,POU4F1,Hb,520 POU4F1 (Hb),9.5,"(0,100]"
Br6462,5985,4548,4596,7488,7524,520,136,POU4F1,Hb,520 POU4F1 (Hb),9.5,"(0,100]"
Br6462,7909,4720,4761,8001,8050,520,136,POU4F1,Hb,520 POU4F1 (Hb),9.5,"(0,100]"
Br8112,6613,2185,2217,6606,6585,520,307,POU4F1,Hb,520 POU4F1 (Hb),10,"(0,100]"
Br9090,5324,5262,5292,9118,9155,520,108,POU4F1,Hb,520 POU4F1 (Hb),10,"(0,100]"
Br9090,2191,3946,3992,5849,5885,570,603,CRH,LHb.2,570 CRH (LHb.2),1,"(0,100]"
Br8112,11903,2837,2873,2997,2986,570,378,CRH,LHb.2,570 CRH (LHb.2),1,"(0,100]"
Br8433,15061,1265,1307,13215,13252,570,329,CRH,LHb.2,570 CRH (LHb.2),1,"(0,100]"
Br6462,5512,8931,8967,6980,7014,570,274,CRH,LHb.2,570 CRH (LHb.2),1,"(0,100]"
Br9090,13027,4593,4627,18251,18281,570,549,CRH,LHb.2,570 CRH (LHb.2),2,"(0,100]"
Br8112,11963,3323,3350,3033,3015,570,335,CRH,LHb.2,570 CRH (LHb.2),2,"(0,100]"
Br6462,3973,7228,7273,6329,6379,570,91,CRH,LHb.2,570 CRH (LHb.2),2,"(0,100]"
Br8433,13337,3706,3734,10521,10556,570,242,CRH,LHb.2,570 CRH (LHb.2),2.5,"(0,100]"
Br8433,16663,2613,2648,14464,14506,570,242,CRH,LHb.2,570 CRH (LHb.2),2.5,"(0,100]"
Br9090,8278,5831,5873,12028,12060,570,482,CRH,LHb.2,570 CRH (LHb.2),3,"(0,100]"
Br8112,7083,6363,6395,6713,6692,570,265,CRH,LHb.2,570 CRH (LHb.2),3,"(0,100]"
Br6462,6579,8480,8525,7315,7359,570,84,CRH,LHb.2,570 CRH (LHb.2),3,"(0,100]"
Br9090,14619,4371,4407,19625,19659,570,454,CRH,LHb.2,570 CRH (LHb.2),4,"(0,100]"
Br8112,12787,7191,7220,2684,2677,570,246,CRH,LHb.2,570 CRH (LHb.2),4,"(0,100]"
Br8433,12992,3762,3796,9625,9661,570,241,CRH,LHb.2,570 CRH (LHb.2),4,"(0,100]"
Br6462,8892,4173,4215,8753,8786,570,79,CRH,LHb.2,570 CRH (LHb.2),4,"(0,100]"
Br9090,12053,4434,4481,17528,17562,570,429,CRH,LHb.2,570 CRH (LHb.2),5,"(0,100]"
Br8112,9574,2065,2085,4433,4416,570,235,CRH,LHb.2,570 CRH (LHb.2),5,"(0,100]"
Br8433,13036,3976,4007,10807,10834,570,218,CRH,LHb.2,570 CRH (LHb.2),5,"(0,100]"
Br6462,5184,5872,5908,6794,6837,570,77,CRH,LHb.2,570 CRH (LHb.2),5,"(0,100]"
Br9090,12035,4429,4460,17386,17423,570,408,CRH,LHb.2,570 CRH (LHb.2),6,"(0,100]"
Br8112,13486,3988,4013,1901,1890,570,228,CRH,LHb.2,570 CRH (LHb.2),6,"(0,100]"
Br8433,9455,3317,3351,8125,8159,570,209,CRH,LHb.2,570 CRH (LHb.2),6,"(0,100]"
Br6462,9873,4516,4545,8799,8834,570,70,CRH,LHb.2,570 CRH (LHb.2),6,"(0,100]"
Br9090,14786,3649,3681,19851,19883,570,397,CRH,LHb.2,570 CRH (LHb.2),7,"(0,100]"
Br8112,11902,3088,3116,3000,2987,570,223,CRH,LHb.2,570 CRH (LHb.2),7,"(0,100]"
Br6462,4732,8286,8322,6774,6815,570,60,CRH,LHb.2,570 CRH (LHb.2),7,"(0,100]"
Br8433,13096,2848,2888,11459,11497,570,192,CRH,LHb.2,570 CRH (LHb.2),7.5,"(0,100]"
Br8433,15415,2309,2334,13248,13271,570,192,CRH,LHb.2,570 CRH (LHb.2),7.5,"(0,100]"
Br9090,4203,2751,2781,8091,8119,570,353,CRH,LHb.2,570 CRH (LHb.2),8,"(0,100]"
Br8112,11904,3097,3125,2992,2978,570,207,CRH,LHb.2,570 CRH (LHb.2),8,"(0,100]"
Br6462,7788,4963,4995,8324,8364,570,57,CRH,LHb.2,570 CRH (LHb.2),8,"(0,100]"
Br9090,19849,3046,3083,23740,23779,570,320,CRH,LHb.2,570 CRH (LHb.2),9,"(0,100]"
Br8112,8569,4830,4858,5204,5187,570,196,CRH,LHb.2,570 CRH (LHb.2),9,"(0,100]"
Br8433,14232,3840,3872,11661,11692,570,189,CRH,LHb.2,570 CRH (LHb.2),9,"(0,100]"
Br6462,9350,8605,8640,8656,8684,570,54,CRH,LHb.2,570 CRH (LHb.2),9.5,"(0,100]"
Br6462,15051,10345,10377,10641,10686,570,54,CRH,LHb.2,570 CRH (LHb.2),9.5,"(0,100]"
Br9090,14618,4378,4413,19611,19629,570,319,CRH,LHb.2,570 CRH (LHb.2),10,"(0,100]"
Br8433,6269,7553,7589,6887,6917,570,188,CRH,LHb.2,570 CRH (LHb.2),10,"(0,100]"
Br8112,4757,5278,5309,8318,8298,570,158,CRH,LHb.2,570 CRH (LHb.2),10,"(0,100]"
Br8112,12580,4274,4302,2509,2498,620,229,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),1,"(0,100]"
Br8433,6236,6893,6934,6563,6598,620,126,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),1,"(0,100]"
Br9090,13027,4593,4627,18251,18281,620,126,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),1,"(0,100]"
Br6462,15766,4994,5047,11075,11127,620,62,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),1,"(0,100]"
Br8112,9743,5534,5574,4473,4461,620,158,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),2,"(0,100]"
Br8433,7636,6409,6447,8102,8135,620,102,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),2,"(0,100]"
Br9090,4280,2858,2883,7261,7287,620,102,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),2,"(0,100]"
Br6462,14516,5870,5917,10499,10541,620,41,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),2,"(0,100]"
Br8112,11706,6512,6552,3314,3298,620,147,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),3,"(0,100]"
Br8433,10946,6008,6046,9756,9784,620,84,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),3,"(0,100]"
Br9090,2153,2342,2372,5831,5854,620,69,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),3,"(0,100]"
Br8112,12539,3618,3647,2369,2357,620,131,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),4,"(0,100]"
Br8433,6455,6258,6299,7165,7198,620,74,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),4,"(0,100]"
Br6462,461,12292,12326,1280,1309,620,26,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),4,"(0,100]"
Br6462,7096,6718,6760,7605,7636,620,26,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),4,"(0,100]"
Br6462,8278,8626,8676,8369,8423,620,26,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),4,"(0,100]"
Br9090,1338,1953,1974,4861,4884,620,67,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),4.5,"(0,100]"
Br9090,4220,2611,2638,8379,8402,620,67,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),4.5,"(0,100]"
Br8112,12337,8611,8641,2897,2882,620,116,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),5,"(0,100]"
Br8433,6223,6726,6753,6350,6384,620,73,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),5,"(0,100]"
Br8112,12324,8651,8678,3060,3049,620,112,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),6,"(0,100]"
Br8433,14110,3001,3041,11535,11567,620,71,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),6,"(0,100]"
Br9090,3320,2859,2894,6943,6977,620,66,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),6,"(0,100]"
Br6462,14573,4259,4285,10732,10753,620,25,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),6,"(0,100]"
Br8112,6789,6746,6765,6388,6378,620,105,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),7,"(0,100]"
Br8433,15061,1265,1307,13215,13252,620,66,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),7,"(0,100]"
Br9090,4875,2639,2661,8431,8453,620,65,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),7,"(0,100]"
Br6462,19368,5060,5100,12978,13009,620,22,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),7,"(0,100]"
Br8112,11506,5049,5075,3485,3475,620,102,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),8,"(0,100]"
Br8433,13220,4113,4155,11138,11169,620,65,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),8,"(0,100]"
Br9090,3550,2666,2692,7171,7194,620,62,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),8,"(0,100]"
Br8112,6384,6616,6643,6825,6814,620,99,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),9,"(0,100]"
Br8433,7623,6428,6459,7951,7982,620,64,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),9,"(0,100]"
Br9090,4207,2687,2709,8109,8134,620,60,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),9,"(0,100]"
Br6462,6537,7001,7040,7328,7361,620,21,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),9,"(0,100]"
Br6462,9344,8663,8698,8536,8569,620,21,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),9,"(0,100]"
Br6462,14569,4252,4291,10702,10732,620,21,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),9,"(0,100]"
Br8112,22,3439,3466,12878,12861,620,94,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),10,"(0,100]"
Br8433,14121,3020,3048,11586,11619,620,63,MCOLN3,LHb.3,620 MCOLN3 (LHb.3),10,"(0,100]"
Br8433,5653,8266,8301,6202,6240,690,100,ESRP1,LHb.6,690 ESRP1 (LHb.6),1,"(0,100]"
Br8112,174,6400,6430,12951,12935,690,88,ESRP1,LHb.6,690 ESRP1 (LHb.6),1,"(0,100]"
Br9090,2153,2342,2372,5831,5854,690,76,ESRP1,LHb.6,690 ESRP1 (LHb.6),1,"(0,100]"
Br6462,9893,4545,4597,9165,9213,690,26,ESRP1,LHb.6,690 ESRP1 (LHb.6),1,"(0,100]"
Br8433,8990,8200,8228,8392,8420,690,87,ESRP1,LHb.6,690 ESRP1 (LHb.6),2,"(0,100]"
Br9090,4280,2858,2883,7261,7287,690,64,ESRP1,LHb.6,690 ESRP1 (LHb.6),2,"(0,100]"
Br8112,682,7400,7442,12108,12093,690,52,ESRP1,LHb.6,690 ESRP1 (LHb.6),2,"(0,100]"
Br6462,6099,4118,4140,7452,7492,690,24,ESRP1,LHb.6,690 ESRP1 (LHb.6),2,"(0,100]"
Br8433,8991,8160,8191,8531,8563,690,85,ESRP1,LHb.6,690 ESRP1 (LHb.6),3,"(0,100]"
Br8112,162,7253,7278,12904,12890,690,44,ESRP1,LHb.6,690 ESRP1 (LHb.6),3,"(0,100]"
Br6462,15465,1628,1655,10907,10938,690,23,ESRP1,LHb.6,690 ESRP1 (LHb.6),3,"(0,100]"
Br9090,9298,2149,2172,13881,13914,690,57,ESRP1,LHb.6,690 ESRP1 (LHb.6),3.5,"(0,100]"
Br9090,9751,2144,2178,14384,14413,690,57,ESRP1,LHb.6,690 ESRP1 (LHb.6),3.5,"(0,100]"
Br8433,8992,8145,8175,8595,8629,690,66,ESRP1,LHb.6,690 ESRP1 (LHb.6),4,"(0,100]"
Br8112,672,7341,7370,12285,12266,690,41,ESRP1,LHb.6,690 ESRP1 (LHb.6),4,"(0,100]"
Br6462,5159,4492,4536,7063,7108,690,22,ESRP1,LHb.6,690 ESRP1 (LHb.6),4.5,"(0,100]"
Br6462,9503,12277,12315,8645,8679,690,22,ESRP1,LHb.6,690 ESRP1 (LHb.6),4.5,"(0,100]"
Br9090,3509,2672,2693,6914,6940,690,50,ESRP1,LHb.6,690 ESRP1 (LHb.6),5,"(0,100]"
Br8112,339,7398,7423,12408,12387,690,40,ESRP1,LHb.6,690 ESRP1 (LHb.6),5,"(0,100]"
Br8433,6740,8173,8211,6489,6526,690,62,ESRP1,LHb.6,690 ESRP1 (LHb.6),5.5,"(0,100]"
Br8433,14063,4877,4908,11818,11852,690,62,ESRP1,LHb.6,690 ESRP1 (LHb.6),5.5,"(0,100]"
Br9090,8667,6161,6196,12592,12616,690,49,ESRP1,LHb.6,690 ESRP1 (LHb.6),6,"(0,100]"
Br8112,6084,1813,1848,6822,6801,690,30,ESRP1,LHb.6,690 ESRP1 (LHb.6),6,"(0,100]"
Br6462,13430,3821,3871,10206,10254,690,17,ESRP1,LHb.6,690 ESRP1 (LHb.6),6,"(0,100]"
Br8433,2562,8088,8132,3699,3737,690,61,ESRP1,LHb.6,690 ESRP1 (LHb.6),7,"(0,100]"
Br8112,665,7172,7204,11949,11936,690,25,ESRP1,LHb.6,690 ESRP1 (LHb.6),7,"(0,100]"
Br6462,9923,3070,3087,9165,9196,690,16,ESRP1,LHb.6,690 ESRP1 (LHb.6),7,"(0,100]"
Br9090,2143,2317,2345,5692,5722,690,47,ESRP1,LHb.6,690 ESRP1 (LHb.6),7.5,"(0,100]"
Br9090,4203,2751,2781,8091,8119,690,47,ESRP1,LHb.6,690 ESRP1 (LHb.6),7.5,"(0,100]"
Br8433,5646,8318,8346,6045,6071,690,60,ESRP1,LHb.6,690 ESRP1 (LHb.6),8,"(0,100]"
Br8112,671,7336,7366,12287,12278,690,24,ESRP1,LHb.6,690 ESRP1 (LHb.6),8,"(0,100]"
Br8433,7425,8206,8239,8322,8345,690,58,ESRP1,LHb.6,690 ESRP1 (LHb.6),9,"(0,100]"
Br9090,3552,2662,2705,7187,7226,690,45,ESRP1,LHb.6,690 ESRP1 (LHb.6),9,"(0,100]"
Br8112,353,6986,7010,12576,12571,690,23,ESRP1,LHb.6,690 ESRP1 (LHb.6),9,"(0,100]"
Br6462,6457,8147,8184,7319,7352,690,15,ESRP1,LHb.6,690 ESRP1 (LHb.6),9,"(0,100]"
Br6462,14394,1711,1742,10583,10619,690,15,ESRP1,LHb.6,690 ESRP1 (LHb.6),9,"(0,100]"
Br6462,14582,3770,3804,10425,10457,690,15,ESRP1,LHb.6,690 ESRP1 (LHb.6),9,"(0,100]"
Br9090,2155,2333,2359,5849,5871,690,44,ESRP1,LHb.6,690 ESRP1 (LHb.6),10,"(0,100]"
Br8112,2035,9251,9276,10581,10573,690,22,ESRP1,LHb.6,690 ESRP1 (LHb.6),10,"(0,100]"
