Sample,Object Id,XMin,XMax,YMin,YMax,probe,copies,marker,cluster,probe2,copies_rank,rank_cut
Br8112,2564,5143,5180,9834,9809,520,459,POU4F1,Hb,520 POU4F1 (Hb),1,"(0,100]"
Br8433,11654,7805,7850,10170,10205,520,260,POU4F1,Hb,520 POU4F1 (Hb),1,"(0,100]"
Br9090,6280,4599,4636,10212,10250,520,180,POU4F1,Hb,520 POU4F1 (Hb),1,"(0,100]"
Br6462,3893,6946,6991,6321,6364,520,179,POU4F1,Hb,520 POU4F1 (Hb),1,"(0,100]"
Br8112,7834,3537,3569,5665,5650,520,410,POU4F1,Hb,520 POU4F1 (Hb),2,"(0,100]"
Br8433,7372,4998,5031,8705,8736,520,240,POU4F1,Hb,520 POU4F1 (Hb),2,"(0,100]"
Br6462,4566,6145,6181,6605,6638,520,170,POU4F1,Hb,520 POU4F1 (Hb),2,"(0,100]"
Br9090,17732,2704,2737,23103,23137,520,159,POU4F1,Hb,520 POU4F1 (Hb),2,"(0,100]"
Br8112,5638,4206,4241,7415,7411,520,385,POU4F1,Hb,520 POU4F1 (Hb),3,"(0,100]"
Br8433,14456,4661,4699,12847,12878,520,233,POU4F1,Hb,520 POU4F1 (Hb),3,"(0,100]"
Br6462,5994,4688,4720,7545,7580,520,160,POU4F1,Hb,520 POU4F1 (Hb),3,"(0,100]"
Br9090,6265,4661,4697,10069,10105,520,134,POU4F1,Hb,520 POU4F1 (Hb),3,"(0,100]"
Br8112,9245,5907,5945,5051,5034,520,384,POU4F1,Hb,520 POU4F1 (Hb),4,"(0,100]"
Br8433,11358,4694,4734,10107,10136,520,225,POU4F1,Hb,520 POU4F1 (Hb),4,"(0,100]"
Br6462,7325,4380,4421,7700,7737,520,151,POU4F1,Hb,520 POU4F1 (Hb),4,"(0,100]"
Br9090,6170,5951,5984,9656,9691,520,131,POU4F1,Hb,520 POU4F1 (Hb),4,"(0,100]"
Br8112,8144,6448,6476,5623,5605,520,352,POU4F1,Hb,520 POU4F1 (Hb),5,"(0,100]"
Br8433,11752,4541,4571,10791,10831,520,218,POU4F1,Hb,520 POU4F1 (Hb),5,"(0,100]"
Br6462,6202,6315,6351,7365,7406,520,147,POU4F1,Hb,520 POU4F1 (Hb),5,"(0,100]"
Br9090,7842,3936,3970,11602,11635,520,126,POU4F1,Hb,520 POU4F1 (Hb),5,"(0,100]"
Br8112,11070,6937,6971,3897,3882,520,326,POU4F1,Hb,520 POU4F1 (Hb),6,"(0,100]"
Br6462,4710,6954,7006,6749,6798,520,144,POU4F1,Hb,520 POU4F1 (Hb),6,"(0,100]"
Br9090,9593,4670,4701,13453,13489,520,123,POU4F1,Hb,520 POU4F1 (Hb),6,"(0,100]"
Br8112,9866,4712,4747,4341,4321,520,321,POU4F1,Hb,520 POU4F1 (Hb),7,"(0,100]"
