"Image Location","Analysis Region","Algorithm Name","Object Id","XMin","XMax","YMin","YMax","ALL THREE GENES ","NO CHRNB4 ALL THREE GENES","NO CHRNB4 BHLHE22 & CCK","NO CHRNB4 CHAT & CCK","NO CHRNB4 CHAT & BHLHE22","NO CHRNB4 CCK","NO CHRNB4 BHLHE22","NO FLOURESCENCE","BHLHE22 & CCK","CCK","BHLHE22","JUST CHRNB4","CHAT & CCK","CHAT","CHAT & BHLHE22","NO CHRNB4 CHAT","20x DAPI Positive","20x DAPI Positive Nucleus","20x DAPI Nucleus Intensity","20x DAPI Positive Cytoplasm","20x DAPI Cytoplasm Intensity","25xSil Opal 520 Copies","25xSil Opal 520 Area (µm²)","25xSil Opal 520 Classification","25xSil Opal 520 Cell Intensity","25xSil Opal 520 Avg Intensity","20x Opal 570 Copies","20x Opal 570 Area (µm²)","20x Opal 570 Classification","20x Opal 570 Cell Intensity","20x Opal 570 Avg Intensity","20x Opal 620 Copies","20x Opal 620 Area (µm²)","20x Opal 620 Classification","20x Opal 620 Cell Intensity","20x Opal 620 Avg Intensity","20x Opal 690 Copies","20x Opal 690 Area (µm²)","20x Opal 690 Classification","20x Opal 690 Cell Intensity","20x Opal 690 Avg Intensity","Cell Area (µm²)","Cytoplasm Area (µm²)","Nucleus Area (µm²)","Nucleus Perimeter (µm)","Nucleus Roundness"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","34","1646","1667","621","652","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1224.9004","0","298.21753","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81.14845","57.31081","23.837643","24.361345","0.650091"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","35","1625","1654","628","657","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1366.9594","0","309.5591","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","105.85375","71.05627","34.797478","29.276354","0.67961"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","36","1881","1905","648","671","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","626.5","0","159.51678","2","4.109939","1","2090.5886","508.66666","11","11.051168","3","5960.1416","539.3223","0","0","0","0","0","0","0","0","0","0","77.906166","65.30235","12.603811","16.240896","0.725828"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","37","1680","1709","663","690","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1807.215","0","332.27838","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","112.33832","83.66008","28.678238","23.506561","0.798822"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","38","1925","1957","687","720","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1852.663","0","326.12262","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","149.23643","100.19117","49.045265","31.199617","0.908316"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","39","1872","1893","689","714","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","681.77106","0","155.2394","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","76.99285","65.62202","11.37083","16.240896","0.64799"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","40","1614","1643","704","738","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1354.6239","0","257.64127","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","136.76962","95.8529","40.91672","29.91744","0.796413"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","41","1686","1715","706","731","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1103.2439","0","243.89307","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","106.675735","80.2808","26.394938","23.079168","0.822781"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","42","1656","1689","710","741","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1718.3401","0","321.72714","0","0","0","0","0","1","0.410994","1","116.53959","283.55554","0","0","0","0","0","0","0","0","0","0","140.46857","97.90787","42.560696","30.772224","0.731135"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","43","1805","1837","760","793","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1769.2772","0","300.3408","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1.461311","1","814.40717","557.3125","145.72015","100.09984","45.620316","30.772224","0.777751"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","44","1635","1661","779","806","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1304.2584","0","372.67978","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104.07278","75.4402","28.632572","24.361345","0.786181"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","45","1974","2002","-6","19","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1704.6556","0","340.3614","2","6.347572","1","3890.559","612.92084","13","4.749262","3","6656.548","1401.5962","0","0","0","0","0","0","0","0","0","0","95.4419","70.50828","24.933626","22.651777","0.800978"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","46","1607","1632","10","37","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1375.7489","0","257.59988","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95.761566","75.211876","20.549692","20.514816","0.784797"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","47","1967","1998","11","40","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1642.8129","0","324.56326","1","1.14165","1","442.3207","387.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114.25629","81.55945","32.696842","26.925697","0.728995"
