"Image Location","Analysis Region","Algorithm Name","Object Id","XMin","XMax","YMin","YMax","ALL THREE GENES ","NO CHRNB4 ALL THREE GENES","NO CHRNB4 BHLHE22 & CCK","NO CHRNB4 CHAT & CCK","NO CHRNB4 CHAT & BHLHE22","NO CHRNB4 CCK","NO CHRNB4 BHLHE22","NO FLOURESCENCE","BHLHE22 & CCK","CCK","BHLHE22","JUST CHRNB4","CHAT & CCK","CHAT","CHAT & BHLHE22","NO CHRNB4 CHAT","20x DAPI Positive","20x DAPI Positive Nucleus","20x DAPI Nucleus Intensity","20x DAPI Positive Cytoplasm","20x DAPI Cytoplasm Intensity","25xSil Opal 520 Copies","25xSil Opal 520 Area (µm²)","25xSil Opal 520 Classification","25xSil Opal 520 Cell Intensity","25xSil Opal 520 Avg Intensity","20x Opal 570 Copies","20x Opal 570 Area (µm²)","20x Opal 570 Classification","20x Opal 570 Cell Intensity","20x Opal 570 Avg Intensity","20x Opal 620 Copies","20x Opal 620 Area (µm²)","20x Opal 620 Classification","20x Opal 620 Cell Intensity","20x Opal 620 Avg Intensity","20x Opal 690 Copies","20x Opal 690 Area (µm²)","20x Opal 690 Classification","20x Opal 690 Cell Intensity","20x Opal 690 Avg Intensity","Cell Area (µm²)","Cytoplasm Area (µm²)","Nucleus Area (µm²)","Nucleus Perimeter (µm)","Nucleus Roundness"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","0","2728","2763","393","426","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1734.0076","0","453.2005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","162.15991","108.18272","53.977192","34.405056","0.727982"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","1","2625","2661","410","446","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1339.823","0","265.53238","1","1.917971","1","1236.3608","644.619","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","187.59586","116.40259","71.19327","38.037888","0.873944"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","2","2507","2534","436","473","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1400.9368","0","495.33206","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","148.91678","106.9954","41.92137","32.481792","0.653154"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","3","2679","2707","451","476","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","924.4695","0","230.6188","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100.6935","78.22583","22.467665","20.94221","0.80952"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","4","2713","2745","451","482","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1666.852","0","572.4979","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","146.35948","100.05417","46.305305","30.985922","0.841287"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","5","2593","2631","460","500","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1334.3096","0","237.58867","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","221.93668","129.00641","92.930275","43.593987","0.889693"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","6","2433","2469","462","497","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1608.0421","0","344.04837","0","0","0","0","0","1","0.365328","1","96.76622","264.875","0","0","0","0","0","0","0","0","0","0","164.03221","100.09984","63.932377","36.32832","0.798679"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","7","2487","2517","485","511","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1285.0186","0","255.80962","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","101.37849","69.32096","32.05752","25.857216","0.764755"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","8","2550","2581","485","512","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1459.9597","0","333.57422","0","0","0","0","0","1","0.365328","1","97.131546","265.875","0","0","0","0","0","0","0","0","0","0","114.986946","77.54084","37.446106","26.925697","0.743658"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","9","2475","2499","495","519","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1335.1312","0","304.72925","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75.16621","54.981846","20.184364","20.728512","0.780704"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","10","2566","2595","497","526","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1375.193","0","353.3043","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","107.77172","76.53619","31.235533","26.070913","0.756674"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","11","2408","2432","528","554","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","982.2419","0","198.84746","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85.53239","70.05162","15.480768","18.16416","0.757742"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","12","2473","2501","535","568","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1314.9261","0","306.47556","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","138.2766","96.21822","42.058372","28.635265","0.811488"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","13","2761","2791","599","630","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","2760.866","0","446.3744","0","0","0","0","0","1","1.232982","1","393.4581","319.1111","0","0","0","0","0","0","0","0","0","0","129.87405","93.067276","36.80678","28.635265","0.757392"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","14","2545","2581","620","653","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1606.5778","0","385.46194","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","142.52353","87.58736","54.936176","36.54202","0.695757"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","15","2532","2569","642","680","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1867.5686","0","411.92355","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","171.61276","100.37383","71.23894","45.51725","0.641976"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","16","2666","2708","645","673","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1853.4438","0","388.95923","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","170.42545","114.25629","56.16916","35.90093","0.672397"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","17","2431","2461","671","713","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","858.897","0","384.1691","6","9.54419","2","3894.7148","408.07178","3","2.648627","1","749.3788","282.93103","0","0","0","0","0","1","0.68499","1","355.0987","518.4","168.69014","116.40259","52.28755","38.037888","0.656034"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","18","2524","2573","698","732","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","2872.1592","0","776.82855","0","0","0","0","0","3","2.191967","1","823.81433","375.83334","0","0","0","0","0","0","0","0","0","0","193.8521","135.03432","58.817787","47.440514","0.532631"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","19","2629","2663","713","745","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","831.5597","0","207.22934","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","152.70705","103.34212","49.36493","32.268097","0.803346"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","20","2407","2440","717","745","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1476.0015","0","255.15962","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","121.28885","90.69264","30.596209","27.780481","0.642597"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","21","2589","2622","748","785","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1529.2573","0","347.30914","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1.050318","1","558.12964","531.3913","177.59502","113.89096","63.70405","36.755714","0.857826"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","22","2764","2800","778","808","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","2080.854","0","393.12534","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","155.94933","104.94043","51.008904","32.481792","0.774584"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","23","1740","1777","391","419","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1486.0516","0","326.8439","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","146.5878","101.51548","45.072327","31.199617","0.728467"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","24","1660","1683","401","423","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","889.668","0","176.14583","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72.51758","61.37508","11.1425","14.531328","0.80725"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","25","1643","1665","413","437","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1324.3059","0","214.6125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73.750565","62.105736","11.644826","14.95872","0.813283"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","26","1652","1683","439","468","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1408.5372","0","308.4385","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","139.82924","84.664734","55.16451","32.481792","0.823406"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","27","1620","1650","442","473","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1929.7118","0","297.2387","0","0","0","0","0","3","3.013955","1","1485.0121","492.71213","0","0","0","0","0","1","1.14165","1","595.16473","521.32","128.27574","90.875305","37.40044","27.566786","0.876307"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","28","1656","1679","468","493","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1805.0557","0","398.5841","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","83.340416","48.862602","34.477818","28.207872","0.640896"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","29","1624","1649","476","509","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1584.2614","0","296.652","0","0","0","0","0","1","0.776322","1","247.64662","319","0","0","0","0","0","0","0","0","0","0","111.01401","76.76452","34.24949","28.84896","0.630499"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","30","1649","1688","568","600","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1196.233","0","320.0031","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2.237633","1","1281.8441","572.8571","165.35652","117.726906","47.62962","39.10637","0.64759"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","31","1720","1755","605","638","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1441.4021","0","271.23962","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","165.03687","107.68039","57.356476","34.19136","0.839244"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","32","1658","1680","606","631","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1049.939","0","211.9893","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","77.49517","64.02371","13.471465","16.66829","0.714962"
"\\10.17.9.46\Neural_Plasticity\Ege\Ege Nikon\Human RNAscope Experiments October 2023\For Final HALO Processing\MHb Experiment Josh Redo\redo of 20x multistitched umixed.nd2","Layer 1","SECOND RUN Indica Labs - FISH-IF v2.1.5 EAY","33","1686","1722","617","658","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1575.247","0","382.06805","0","0","0","0","0","1","0.45666","1","129.78273","284.2","0","0","0","0","0","2","2.283299","1","1317.4636","577","193.89777","125.49012","68.407646","41.24333","0.633755"
