Sample,Object Id,XMin,XMax,YMin,YMax,probe,copies,marker,cluster,probe2,copies_rank,rank_cut,top400
Br8433,7291,7712,7755,7864,7902,520,645,POU4F1,Hb,520 POU4F1 (Hb),1,"(0,100]",TRUE
Br5422,4311,3161,3204,8137,8192,520,54,POU4F1,Hb,520 POU4F1 (Hb),1,"(0,100]",TRUE
Br8112,125,2230,2264,10,47,520,42,CHRNB4,Hb,520 CHRNB4 (Hb),1.5,"(0,100]",TRUE
Br8112,694,1714,1744,2813,2850,520,42,CHRNB4,Hb,520 CHRNB4 (Hb),1.5,"(0,100]",TRUE
Br8433,14154,4188,4232,12370,12403,520,523,POU4F1,Hb,520 POU4F1 (Hb),2,"(0,100]",TRUE
Br5422,4745,2207,2242,8667,8707,520,44,POU4F1,Hb,520 POU4F1 (Hb),2,"(0,100]",TRUE
Br8433,8664,6708,6746,8644,8683,520,471,POU4F1,Hb,520 POU4F1 (Hb),3,"(0,100]",TRUE
Br8112,1462,1410,1443,5542,5577,520,41,CHRNB4,Hb,520 CHRNB4 (Hb),3,"(0,100]",TRUE
Br5422,4316,3131,3167,8274,8316,520,39,POU4F1,Hb,520 POU4F1 (Hb),3,"(0,100]",TRUE
Br8433,4764,4133,4181,6110,6156,520,453,POU4F1,Hb,520 POU4F1 (Hb),4,"(0,100]",TRUE
Br8112,1946,1061,1099,6960,6998,520,39,CHRNB4,Hb,520 CHRNB4 (Hb),4,"(0,100]",TRUE
Br5422,4758,3325,3369,8490,8528,520,37,POU4F1,Hb,520 POU4F1 (Hb),4,"(0,100]",TRUE
Br8433,9248,7079,7113,8941,8978,520,427,POU4F1,Hb,520 POU4F1 (Hb),5,"(0,100]",TRUE
Br8112,1950,1023,1054,6994,7034,520,37,CHRNB4,Hb,520 CHRNB4 (Hb),5,"(0,100]",TRUE
Br5422,4663,2677,2712,8782,8815,520,29,POU4F1,Hb,520 POU4F1 (Hb),5,"(0,100]",TRUE
Br8433,16099,3946,3985,14376,14414,520,424,POU4F1,Hb,520 POU4F1 (Hb),6,"(0,100]",TRUE
Br8112,1931,1132,1161,6682,6732,520,36,CHRNB4,Hb,520 CHRNB4 (Hb),6.5,"(0,100]",TRUE
Br8112,2413,930,962,8322,8366,520,36,CHRNB4,Hb,520 CHRNB4 (Hb),6.5,"(0,100]",TRUE
Br5422,4724,2362,2408,8382,8423,520,28,POU4F1,Hb,520 POU4F1 (Hb),6.5,"(0,100]",TRUE
Br5422,5153,2542,2578,8924,8967,520,28,POU4F1,Hb,520 POU4F1 (Hb),6.5,"(0,100]",TRUE
Br8433,9520,2897,2937,9119,9158,520,411,POU4F1,Hb,520 POU4F1 (Hb),7,"(0,100]",TRUE
Br8433,7110,6415,6449,7892,7930,520,401,POU4F1,Hb,520 POU4F1 (Hb),8,"(0,100]",TRUE
Br8112,1662,1337,1369,5674,5709,520,34,CHRNB4,Hb,520 CHRNB4 (Hb),8,"(0,100]",TRUE
Br5422,4637,2711,2741,8577,8620,520,27,POU4F1,Hb,520 POU4F1 (Hb),8,"(0,100]",TRUE
Br8112,123,2010,2046,-5,28,520,33,CHRNB4,Hb,520 CHRNB4 (Hb),9,"(0,100]",TRUE
Br5422,5487,2175,2219,9338,9384,520,26,POU4F1,Hb,520 POU4F1 (Hb),9,"(0,100]",TRUE
Br8433,12672,4773,4806,11343,11377,520,379,POU4F1,Hb,520 POU4F1 (Hb),9.5,"(0,100]",TRUE
Br8433,13799,5624,5662,12244,12278,520,379,POU4F1,Hb,520 POU4F1 (Hb),9.5,"(0,100]",TRUE
Br8433,5746,4831,4874,5773,5823,570,485,CHAT,Mhb.2,570 CHAT (Mhb.2),1,"(0,100]",TRUE
Br8112,2149,1232,1265,6454,6488,570,417,CHAT,Mhb.2,570 CHAT (Mhb.2),1,"(0,100]",TRUE
Br5422,4202,3667,3709,7952,7985,570,144,CHAT,Mhb.2,570 CHAT (Mhb.2),1,"(0,100]",TRUE
Br8433,4023,4751,4790,5178,5220,570,457,CHAT,Mhb.2,570 CHAT (Mhb.2),2,"(0,100]",TRUE
Br8112,1950,1023,1054,6994,7034,570,381,CHAT,Mhb.2,570 CHAT (Mhb.2),2,"(0,100]",TRUE
Br5422,5289,4192,4238,9108,9145,570,104,CHAT,Mhb.2,570 CHAT (Mhb.2),2.5,"(0,100]",TRUE
Br5422,5393,5244,5292,9157,9211,570,104,CHAT,Mhb.2,570 CHAT (Mhb.2),2.5,"(0,100]",TRUE
Br8433,4380,4125,4157,5361,5394,570,436,CHAT,Mhb.2,570 CHAT (Mhb.2),3,"(0,100]",TRUE
Br8112,2391,1026,1062,8010,8045,570,373,CHAT,Mhb.2,570 CHAT (Mhb.2),3,"(0,100]",TRUE
Br8433,4983,4123,4152,5643,5683,570,427,CHAT,Mhb.2,570 CHAT (Mhb.2),4,"(0,100]",TRUE
Br8112,2413,930,962,8322,8366,570,355,CHAT,Mhb.2,570 CHAT (Mhb.2),4,"(0,100]",TRUE
Br5422,4759,3566,3608,8496,8535,570,94,CHAT,Mhb.2,570 CHAT (Mhb.2),4,"(0,100]",TRUE
Br8433,4001,4538,4565,4970,5003,570,416,CHAT,Mhb.2,570 CHAT (Mhb.2),5,"(0,100]",TRUE
Br8112,132,2075,2111,147,178,570,291,CHAT,Mhb.2,570 CHAT (Mhb.2),5,"(0,100]",TRUE
Br5422,5297,4942,4973,8831,8882,570,92,CHAT,Mhb.2,570 CHAT (Mhb.2),5,"(0,100]",TRUE
Br8433,4981,4093,4124,5627,5663,570,410,CHAT,Mhb.2,570 CHAT (Mhb.2),6,"(0,100]",TRUE
Br8112,125,2230,2264,10,47,570,283,CHAT,Mhb.2,570 CHAT (Mhb.2),6,"(0,100]",TRUE
Br5422,6146,3080,3128,9682,9719,570,91,CHAT,Mhb.2,570 CHAT (Mhb.2),6,"(0,100]",TRUE
Br8433,5734,4805,4837,5665,5700,570,403,CHAT,Mhb.2,570 CHAT (Mhb.2),7,"(0,100]",TRUE
Br8112,2150,1195,1236,6466,6497,570,268,CHAT,Mhb.2,570 CHAT (Mhb.2),7,"(0,100]",TRUE
Br5422,4369,3689,3714,8329,8374,570,79,CHAT,Mhb.2,570 CHAT (Mhb.2),7,"(0,100]",TRUE
Br8433,5743,4900,4937,5762,5798,570,395,CHAT,Mhb.2,570 CHAT (Mhb.2),8,"(0,100]",TRUE
Br8112,1462,1410,1443,5542,5577,570,256,CHAT,Mhb.2,570 CHAT (Mhb.2),8,"(0,100]",TRUE
Br5422,5296,4968,4992,8830,8874,570,78,CHAT,Mhb.2,570 CHAT (Mhb.2),8,"(0,100]",TRUE
