Sample,Object Id,XMin,XMax,YMin,YMax,probe,copies,marker,cluster,probe2,copies_rank,rank_cut,top400
Br8433,5753,5124,5165,5831,5879,570,385,CHAT,Mhb.2,570 CHAT (Mhb.2),9,"(0,100]",TRUE
Br8112,2144,1199,1228,6388,6422,570,247,CHAT,Mhb.2,570 CHAT (Mhb.2),9,"(0,100]",TRUE
Br5422,5330,3762,3800,8828,8868,570,77,CHAT,Mhb.2,570 CHAT (Mhb.2),9.5,"(0,100]",TRUE
Br5422,6233,4471,4514,9668,9716,570,77,CHAT,Mhb.2,570 CHAT (Mhb.2),9.5,"(0,100]",TRUE
Br8433,3998,4561,4593,4955,4985,570,383,CHAT,Mhb.2,570 CHAT (Mhb.2),10,"(0,100]",TRUE
Br8112,1681,1471,1510,5975,6008,570,229,CHAT,Mhb.2,570 CHAT (Mhb.2),10,"(0,100]",TRUE
Br8433,6665,4813,4843,6781,6826,620,362,EBF3,Mhb.3,620 EBF3 (Mhb.3),1,"(0,100]",TRUE
Br5422,940,7172,7233,2220,2272,620,46,EBF3,Mhb.3,620 EBF3 (Mhb.3),1,"(0,100]",TRUE
Br8433,3644,5965,6012,4229,4261,620,307,EBF3,Mhb.3,620 EBF3 (Mhb.3),2,"(0,100]",TRUE
Br5422,2469,7394,7433,5376,5419,620,45,EBF3,Mhb.3,620 EBF3 (Mhb.3),2,"(0,100]",TRUE
Br8433,7402,4884,4926,7646,7687,620,247,EBF3,Mhb.3,620 EBF3 (Mhb.3),3,"(0,100]",TRUE
Br5422,2082,6940,6987,4710,4756,620,42,EBF3,Mhb.3,620 EBF3 (Mhb.3),3,"(0,100]",TRUE
Br8433,4591,5464,5497,5429,5464,620,224,EBF3,Mhb.3,620 EBF3 (Mhb.3),4,"(0,100]",TRUE
Br5422,3523,7136,7179,6948,6991,620,41,EBF3,Mhb.3,620 EBF3 (Mhb.3),4,"(0,100]",TRUE
Br8433,11910,2708,2735,11036,11068,620,223,EBF3,Mhb.3,620 EBF3 (Mhb.3),5,"(0,100]",TRUE
Br5422,4202,3667,3709,7952,7985,620,40,EBF3,Mhb.3,620 EBF3 (Mhb.3),5,"(0,100]",TRUE
Br8433,5001,3998,4031,5831,5864,620,179,EBF3,Mhb.3,620 EBF3 (Mhb.3),6,"(0,100]",TRUE
Br5422,2980,7176,7219,6322,6367,620,32,EBF3,Mhb.3,620 EBF3 (Mhb.3),6,"(0,100]",TRUE
Br8433,4006,4688,4716,5061,5087,620,165,EBF3,Mhb.3,620 EBF3 (Mhb.3),7,"(0,100]",TRUE
Br5422,5218,3579,3618,8839,8871,620,28,EBF3,Mhb.3,620 EBF3 (Mhb.3),7,"(0,100]",TRUE
Br8433,10039,3659,3688,9653,9687,620,162,EBF3,Mhb.3,620 EBF3 (Mhb.3),8,"(0,100]",TRUE
Br5422,433,7336,7375,1051,1096,620,26,EBF3,Mhb.3,620 EBF3 (Mhb.3),8,"(0,100]",TRUE
Br8433,3997,4661,4691,4936,4969,620,150,EBF3,Mhb.3,620 EBF3 (Mhb.3),9,"(0,100]",TRUE
Br5422,1104,6583,6619,2764,2795,620,24,EBF3,Mhb.3,620 EBF3 (Mhb.3),9,"(0,100]",TRUE
Br8433,3854,6131,6164,4946,4974,620,146,EBF3,Mhb.3,620 EBF3 (Mhb.3),10,"(0,100]",TRUE
Br5422,3826,6975,7013,7317,7354,620,23,EBF3,Mhb.3,620 EBF3 (Mhb.3),10,"(0,100]",TRUE
Br5422,4822,5030,5074,8690,8728,690,774,CCK,MHb.1,690 CCK (MHb.1),1,"(0,100]",TRUE
Br8433,4764,4133,4181,6110,6156,690,622,CCK,MHb.1,690 CCK (MHb.1),1,"(0,100]",TRUE
Br8112,1929,946,984,6658,6686,690,125,CCK,MHb.1,690 CCK (MHb.1),1,"(0,100]",TRUE
Br8433,10906,2478,2527,10430,10465,690,616,CCK,MHb.1,690 CCK (MHb.1),2,"(0,100]",TRUE
Br5422,1426,6423,6461,3443,3472,690,451,CCK,MHb.1,690 CCK (MHb.1),2,"(0,100]",TRUE
Br8112,1262,1469,1510,4851,4894,690,110,CCK,MHb.1,690 CCK (MHb.1),2,"(0,100]",TRUE
Br8433,5701,3917,3952,6168,6203,690,505,CCK,MHb.1,690 CCK (MHb.1),3,"(0,100]",TRUE
Br8112,1897,1084,1127,6387,6419,690,101,CCK,MHb.1,690 CCK (MHb.1),3,"(0,100]",TRUE
Br5422,1424,6423,6453,3421,3443,690,288,CCK,MHb.1,690 CCK (MHb.1),3.5,"(0,100]",TRUE
Br5422,2568,6494,6555,5518,5572,690,288,CCK,MHb.1,690 CCK (MHb.1),3.5,"(0,100]",TRUE
Br8433,9512,3165,3198,9068,9107,690,478,CCK,MHb.1,690 CCK (MHb.1),4,"(0,100]",TRUE
Br8112,1960,966,1006,7159,7197,690,97,CCK,MHb.1,690 CCK (MHb.1),4,"(0,100]",TRUE
Br8433,5945,4342,4378,6726,6756,690,428,CCK,MHb.1,690 CCK (MHb.1),5,"(0,100]",TRUE
Br5422,2224,5931,5962,4966,4994,690,173,CCK,MHb.1,690 CCK (MHb.1),5,"(0,100]",TRUE
Br8112,1638,1159,1195,5966,6001,690,90,CCK,MHb.1,690 CCK (MHb.1),5,"(0,100]",TRUE
Br8433,7212,4130,4169,7924,7955,690,415,CCK,MHb.1,690 CCK (MHb.1),6,"(0,100]",TRUE
Br5422,747,6137,6155,1717,1754,690,152,CCK,MHb.1,690 CCK (MHb.1),6,"(0,100]",TRUE
Br8112,2614,722,750,8238,8279,690,83,CCK,MHb.1,690 CCK (MHb.1),6,"(0,100]",TRUE
Br8433,3064,6862,6890,4118,4143,690,378,CCK,MHb.1,690 CCK (MHb.1),7,"(0,100]",TRUE
Br5422,4264,6798,6841,7746,7794,690,137,CCK,MHb.1,690 CCK (MHb.1),7,"(0,100]",TRUE
Br8112,1939,877,914,6777,6807,690,74,CCK,MHb.1,690 CCK (MHb.1),7,"(0,100]",TRUE
Br8433,5935,4160,4196,6560,6598,690,357,CCK,MHb.1,690 CCK (MHb.1),8,"(0,100]",TRUE
Br5422,2630,5430,5461,5436,5463,690,107,CCK,MHb.1,690 CCK (MHb.1),8,"(0,100]",TRUE
Br8112,2764,1179,1205,8847,8872,690,72,CCK,MHb.1,690 CCK (MHb.1),8,"(0,100]",TRUE
Br8433,5444,3672,3709,7245,7275,690,345,CCK,MHb.1,690 CCK (MHb.1),9,"(0,100]",TRUE
Br5422,4755,3307,3343,8437,8482,690,102,CCK,MHb.1,690 CCK (MHb.1),9,"(0,100]",TRUE
Br8112,1458,1277,1309,5438,5473,690,71,CCK,MHb.1,690 CCK (MHb.1),9,"(0,100]",TRUE
Br8433,7661,3970,4010,8066,8109,690,328,CCK,MHb.1,690 CCK (MHb.1),10,"(0,100]",TRUE
Br5422,1513,7248,7287,3448,3497,690,98,CCK,MHb.1,690 CCK (MHb.1),10,"(0,100]",TRUE
Br8112,694,1714,1744,2813,2850,690,70,CCK,MHb.1,690 CCK (MHb.1),10,"(0,100]",TRUE
