probe,Sample,Object Id,target_propbe,copies_rank,specific_rank,520 POU4F1 (Hb),570 CHAT (Mhb.2),620 EBF3 (Mhb.3),690 CCK (MHb.1)
570,Br8433,6151,570 CHAT (Mhb.2),154,1,15,25,0,0
570,Br8433,8132,570 CHAT (Mhb.2),150.5,2,34,26,0,0
570,Br8433,6442,570 CHAT (Mhb.2),143.5,3,96,29,0,0
570,Br8433,4306,570 CHAT (Mhb.2),139.5,4,27,30,0,0
570,Br8433,4595,570 CHAT (Mhb.2),130,5,12,34,0,0
570,Br8433,7722,570 CHAT (Mhb.2),130,6,43,34,0,0
570,Br8433,5757,570 CHAT (Mhb.2),127,7,12,35,0,0
570,Br8433,7729,570 CHAT (Mhb.2),122,8,95,38,0,0
570,Br8433,3926,570 CHAT (Mhb.2),120,9,128,39,0,0
570,Br8433,5761,570 CHAT (Mhb.2),91,10,53,66,0,0
620,Br8433,9028,620 EBF3 (Mhb.3),41,1,9,0,47,0
620,Br8433,3766,620 EBF3 (Mhb.3),36,2,0,0,60,0
620,Br8433,3269,620 EBF3 (Mhb.3),33,3,0,0,69,0
620,Br8433,10051,620 EBF3 (Mhb.3),19,4,0,0,106,0
620,Br8433,3231,620 EBF3 (Mhb.3),13,5,0,0,118,0
620,Br8433,11910,620 EBF3 (Mhb.3),5,6,11,0,223,0
620,Br8433,4591,620 EBF3 (Mhb.3),4,7,0,0,224,0
620,Br8433,7402,620 EBF3 (Mhb.3),3,8,0,0,247,0
620,Br8433,3644,620 EBF3 (Mhb.3),2,9,0,0,307,0
620,Br8433,6665,620 EBF3 (Mhb.3),1,10,9,0,362,0
690,Br8433,6251,690 CCK (MHb.1),24.5,1,152,0,0,263
690,Br8433,7689,690 CCK (MHb.1),21,2,144,0,0,266
690,Br8433,9101,690 CCK (MHb.1),19,3,0,0,0,278
690,Br8433,9506,690 CCK (MHb.1),15,4,1,0,0,294
690,Br8433,6434,690 CCK (MHb.1),14,5,98,0,0,300
690,Br8433,4852,690 CCK (MHb.1),13,6,104,0,0,304
690,Br8433,7661,690 CCK (MHb.1),10,7,77,0,0,328
690,Br8433,3064,690 CCK (MHb.1),7,8,0,0,0,378
690,Br8433,9512,690 CCK (MHb.1),4,9,0,0,0,478
690,Br8433,10906,690 CCK (MHb.1),2,10,0,0,0,616
