qSV1	qSV2	qSV3	qSV4	qSV5	qSV6	qSV7	qSV8
R18346	-8.13614020979257	10.4771355227142	4.24549893854414	-6.47262807380513	4.98869452683881	-1.55199697949692	2.82499833588257	0.1556961501788
R18347	-14.0692979807403	2.45072094494551	0.32896162114654	1.31402460237692	-2.54575782620562	2.17509446537631	2.05021763226826	1.12551732066706
R18348	6.07203240657391	-1.31059940421581	3.13948103004309	2.38848681198458	-2.25545376044863	-0.517580860810578	3.52724604452624	-1.25068064049014
R18349	12.3052603765133	-6.73935094069943	-6.91017307519773	-3.6952590115068	-0.299764069015271	3.93308971782288	2.50432475953955	-2.42655333564662
R18350	-12.6172277063212	-8.7452243551182	0.566428637032495	-3.32132952951265	0.84999659751836	-0.972026070650686	-1.13999881901045	-0.00947890910778979
R18351	-14.6539348946447	1.77665269632188	-7.22547450394495	-0.273049319845278	0.904703120557205	4.48062203783067	-0.0982880410784398	1.57681368328697
R18352	-2.6912907666683	3.17302357606543	1.41676864216275	4.42126403963149	-2.45766689579059	-1.79373355863413	-2.52609303478764	-0.956485228213259
R18353	16.8395897821612	-8.43216937686702	1.60809766099054	0.438366499810868	1.86101405435848	-0.635906423991186	2.42463872544405	5.5459462700599
R18354	-9.22059117758964	1.29504768599768	-2.76802443082405	0.550136561952333	0.778759752661076	-1.25048822288825	-2.05954898033667	1.03678820307829
R18356	-13.2019484370725	-8.26377695124546	-2.53273503291396	-2.28632328538194	-0.355778016594785	-1.26130646661562	-1.39931844847005	-1.51441471100987
R18357	-17.1206522697736	4.19225277382697	-2.42441858623553	2.60270428623544	-1.12476917369676	1.54130611519323	1.51422615734468	1.4666608829658
R18358	-11.5381212260994	2.88425830768116	1.52720798146795	1.07724001267227	-0.9529483599931	-0.99906253416778	4.06898541521816	-0.546980982045541
R18359	-11.6321413343262	6.60848287838072	4.76050095373277	-6.6688584775648	7.04484925905926	0.444858769571545	3.71112508386708	0.175666038770737
R18360	-8.78389132427439	7.30816009754617	-9.44476682964902	2.67268472803294	-1.66319269343059	-1.94657166383783	-0.93929569380186	2.39887511156962
R18361	-1.24677311190334	-8.40575101980613	-2.33144669232704	0.669156068047612	1.45875185894191	0.490348746427411	-2.68692208365685	0.308310515029047
R18362	10.5549605124174	-4.93770093269968	-4.31262667432754	-0.936734213274715	-0.989085901155952	2.9041703000314	2.30182447704997	-3.7996108225932
R18363	10.5855197932636	-1.6839626484693	5.05079091117693	5.1952996541484	-3.02359145666752	3.38466607920866	1.28214483410599	5.36033922181625
R18365	16.0380848594326	10.9188440894749	-5.09369378604273	-7.06099323983453	0.241914921738396	3.28986302813379	-2.25834264622668	0.547331052035909
R18367	-11.0161429861337	-6.03420252766112	4.48794099332598	-0.76973644109656	-1.08780924695222	-1.44340665084093	-5.88403783790056	3.71562340344201
R18368	23.7253872151793	-0.997141524012755	5.46885396451997	7.55223719255828	7.1483184056247	2.37634318624078	0.812455279889212	-2.53919879390938
R18369	3.08467736727194	-3.58863923607795	1.34144253265981	1.33778546924012	1.0761476527386	-3.58746743031313	-2.79577300936687	-0.723672493090577
R18370	-0.271526444284356	-2.36240892509293	-3.98673896987193	-0.187560707699099	0.572472838604252	-1.021599294028	-1.16610856045111	-0.540101048326949
R18371	11.1354343604964	6.24273225297683	3.2940062529114	-5.8353172495587	-0.695912954866	3.58154884123349	-5.54372199659066	-0.668161406319186
R18372	3.62752070280466	8.00160482659211	-14.8565023675536	3.2136696626958	4.42056650418115	-4.06352037649322	-1.84207171035823	5.24064865079478
R18373	2.33538056585078	-6.73533570749398	-2.77870402444006	-2.35735208196112	1.28457573623597	4.49875878741062	-2.2221595365071	-1.94832984566314
R18374	11.6221647622114	5.11325614913657	7.08617855977128	-9.1922524893653	-5.58147874214114	-4.53676742205559	1.5711045880734	0.524155631716067
R18375	24.1512214057034	0.215105386025297	0.832036880718433	-6.34202388704515	5.03008458154864	-4.38000950460668	4.67636850251216	3.77532577044519
R18376	-20.5176446445934	-2.15161087928677	0.878712388729071	-0.501792856890033	3.34885409222371	0.996050507941711	-1.58659386509093	0.125854118037886
R18377	3.49400265855666	-15.432371421454	3.60421278637903	-1.36177154169076	3.89647280818065	-5.48479941917065	-1.85319119624272	4.98692095398964
R18378	17.5158848841117	-0.674729830008257	-6.46176474676408	1.66010048130889	0.691381433355176	-3.24047753246652	3.3921585868097	1.72684989132219
R18379	2.96265621632531	-3.90344614240133	2.83871922789584	0.395393860187871	-4.18519262964595	-1.71092843093065	-1.51222550868012	-1.8834817308996
R18380	4.81210282429026	0.386914546579866	-8.96250590062357	0.0116870271087204	-3.61628073085008	2.55345497072787	-2.1736448907808	0.896558502126457
R18381	10.6065657430984	16.3610719303873	2.2368556657308	-2.737937249318	-0.545943109891573	-4.15432652940285	-6.94446771029578	-5.43573427423788
R18383	-24.5427408106998	3.02351493844148	-0.917493511073892	1.60164846960436	-2.43799333639781	1.12547759696594	1.2520337017822	0.516386074618598
R18384	10.8212998333167	-3.90439108615071	0.0228882692151423	-1.83983341334151	-5.26131531977377	-0.298990158626263	4.0247928838946	-2.41048884543223
R18385	1.93409595212074	4.45958972455745	-3.32439449431743	3.21410870963778	-2.54902490951135	1.54437781129613	-0.933263823482888	1.37889653146488
R18386	-9.98825126487466	5.17939842873925	-5.66942002899112	2.66824134672549	0.9911150699486	-1.20261230152945	0.220405099190746	3.07584735706019
R18387	2.33993660258716	3.02901492868303	0.272519560899251	4.38223211003922	-3.86230539526587	-1.12157443359948	-1.47973058866688	-1.65475800850903
R18388	-4.84240184156025	3.12329072613987	2.88398694676692	3.41227030082618	3.36953147537832	0.304191402056257	0.245613525720652	-0.235444977125875
R18389	-13.8301316253325	-1.30564385208756	-1.08065362648624	0.0881812722484949	-0.97834464098409	0.658974862995408	-0.417378528648532	1.87456303795043
R18390	-12.8897296718536	-6.50728097601271	6.88948905867715	-2.26490513844351	1.26930123117582	0.894269879923434	-3.25599580234386	-0.165715179982818
R18391	4.13375188197847	-2.03348972000692	1.2003264700113	1.93695329377934	-1.82206195421293	3.01581152138668	-0.21813467670964	1.92584222243351
R18392	-5.23007407953515	-3.39550268187791	-1.66827391852291	1.46072785156579	-1.67000503369439	0.100058729160952	1.03623540386713	-1.07552315427217
R18394	-12.39077048806	-1.51699440297912	5.57339416493398	1.94944101539698	-2.0386974212211	-2.05070222162088	2.11059052725116	-0.895021702976698
R18395	-4.12474146338271	-14.0299534565424	4.62725180125149	-2.57858298796524	2.42567568132351	-0.9111227364981	-2.63337683619622	0.160206398480941
R18396	-6.64927603495079	1.10972973837976	0.684603717846475	3.79398311069829	-2.2369833333253	4.75534758249342	1.34671175202632	1.29357956479262
R18397	11.5443824343148	9.27338369046	8.23096417723741	-4.35519789734701	-4.47548209533649	-0.219656340170295	0.357141506425427	2.69226290557287
R18398	16.2950451846027	4.96491909351092	5.8124710778102	8.8885313340204	10.2305114678555	2.85238592466312	-1.3693038772076	-2.05924260401811
R18399	6.64386427493941	4.99718084942652	4.68799993583765	8.55388716623574	0.863624126303694	4.88164416799012	-1.45900610077185	-4.31769670958196
R18400	-4.04863368729448	2.74072730062415	-1.23249722407021	3.17650946180076	0.272465366824319	-0.976614873100617	0.287973786536189	2.50205377766007
R18401	4.29880630208733	1.55690931008665	-1.32783859865002	3.11560428046639	-1.7800221047958	2.86218162624283	0.879291607237775	1.76611854374976
R18404	-15.6485060449059	-6.16223136368162	-0.123634940445385	-1.26528056762195	2.33225219672539	-0.862329712283115	0.121170015757751	-1.63075155252843
