"","0.5:1e-04","0.5:1e-05","0.5:1e-06","0.75:1e-04","0.75:1e-05","0.75:1e-06","0.9:1e-04","0.9:1e-05","0.9:1e-06"
"0",0,0,0,0,0,0,0,0,0
"0.01",1.74148624076942e-07,1.55158244030673e-08,1.41209377524376e-09,3.28923297487904e-08,2.92898461040636e-09,2.66450417285569e-10,5.60702395624446e-09,4.99240315754435e-10,4.54121185100576e-11
"0.02",7.12752745712919e-07,6.36288770561322e-08,5.80021752849547e-09,1.32145952402851e-07,1.17717189329625e-08,1.07120479153622e-09,2.24448530872223e-08,1.99858174454448e-09,1.81805570598215e-10
"0.03",1.66574156335031e-06,1.49195940490898e-07,1.36369049386076e-08,2.99500585887458e-07,2.66966208029018e-08,2.4305863988161e-09,5.05638081405024e-08,4.50289128206549e-09,4.09651534916122e-10
"0.04",3.12130007817935e-06,2.80861405022037e-07,2.57683666626818e-08,5.37888641183315e-07,4.79879951331696e-08,4.37218361515335e-09,9.00479192322834e-08,8.02029798130377e-09,7.29737603677449e-10
"0.05",5.21375689954695e-06,4.71940369339841e-07,4.35095851569756e-08,8.51485089659043e-07,7.60515204145662e-08,6.93543256158335e-09,1.41015169874414e-07,1.2562220264023e-08,1.14317011412624e-09
"0.06",8.13552294964826e-06,7.41777516077846e-07,6.8792497254222e-08,1.24577838012119e-06,1.1142207578807e-07,1.01724506595957e-08,2.03617839367176e-07,1.81434030022132e-08,1.65137847840668e-09
"0.07",1.21540456443636e-05,1.11771777489e-06,1.04384335619656e-07,1.72766352046771e-06,1.54774060234786e-07,1.41491396377091e-08,2.78042944334977e-07,2.47819663679039e-08,2.25612017956678e-09
"0.08",1.76351187288759e-05,1.63788396767561e-06,1.5420118615328e-07,2.30555878644179e-06,2.06934400059922e-07,1.89465814148804e-08,3.6451278140337e-07,3.24994653411181e-08,2.95948698880721e-09
"0.09",2.50743411381871e-05,2.35503299683693e-06,2.23752563921487e-07,2.98954787936179e-06,2.68898494359959e-07,2.46627570588132e-08,4.63285571572492e-07,4.13209603200571e-08,3.76391262602027e-09
"0.1",3.51390682866715e-05,3.34186166772721e-06,3.20767430173063e-07,3.79154973872975e-06,3.41849401119809e-07,3.14146276769733e-08,5.7465620828534e-07,5.12751000547595e-08,4.67218175259632e-09
"0.11",4.87238651379895e-05,4.69826332505363e-06,4.56072047683165e-07,4.72551862495951e-06,4.27180627982082e-07,3.93406207610525e-08,6.98957111966436e-07,6.23942151278811e-08,5.6874392972972e-09
"0.12",6.70232698193329e-05,6.56120611608468e-06,6.44817366057815e-07,5.80767753066702e-06,5.26522959121145e-07,4.86035771629645e-08,8.36559191697006e-07,7.47144253132603e-08,6.81320277973185e-09
"0.13",9.16266231096863e-05,9.11812374981835e-06,9.08190820103627e-07,7.05678845414059e-06,6.41775823040369e-07,5.93942218740651e-08,9.87872918245536e-07,8.82757572595594e-08,8.05337396769801e-09
"0.14",0.000124640819368693,1.26249929738309e-05,1.27579790132337e-06,8.49446358519579e-06,7.75143787268284e-07,7.19352348799163e-08,1.15334951067414e-06,1.03122276939871e-07,9.41225386519307e-09
"0.15",0.000168848083039852,1.74306335326557e-05,1.78896701041875e-06,1.01455220170577e-05,9.2917886329591e-07,8.64860090210584e-08,1.33348223974039e-06,1.19302234091734e-07,1.08945575894026e-08
"0.16",0.00022790724842503,2.40092227730138e-05,2.50532255319236e-06,1.20383972073146e-05,1.10682940124285e-06,1.03348197444397e-07,1.52880785064813e-06,1.36868220979025e-07,1.25054316901796e-08
"0.17",0.000306608469953784,3.30035861763056e-05,3.5050931163072e-06,1.42056010790093e-05,1.31149647819573e-06,1.22872171326449e-07,1.73990811103142e-06,1.55877345142663e-07,1.42504724687242e-08
"0.18",0.000411192731804788,4.52825247941879e-05,4.89978275874936e-06,1.66842513755761e-05,1.54709880795245e-06,1.45464524869965e-07,1.96741148650315e-06,1.76391417361366e-07,1.61357467387546e-08
