Sample,Object Id,XMin,XMax,YMin,YMax,probe,copies,marker,cluster,probe2,copies_rank,rank_cut,top400
Br8112,8117,3602,3631,7782,7755,520,444,POU4F1,Hb,520 POU4F1 (Hb),8,"(0,100]",TRUE
Br5422,6798,2918,2958,8578,8617,520,163,POU4F1,Hb,520 POU4F1 (Hb),8,"(0,100]",TRUE
Br6462,8710,5690,5732,7277,7324,520,651,POU4F1,Hb,520 POU4F1 (Hb),9,"(0,100]",TRUE
Br8112,8844,2848,2890,7145,7123,520,434,POU4F1,Hb,520 POU4F1 (Hb),9,"(0,100]",TRUE
Br5422,5597,2303,2347,7855,7890,520,160,POU4F1,Hb,520 POU4F1 (Hb),9,"(0,100]",TRUE
Br6462,9683,4751,4785,7767,7813,520,634,POU4F1,Hb,520 POU4F1 (Hb),10,"(0,100]",TRUE
Br8112,10227,1031,1074,6365,6340,520,431,POU4F1,Hb,520 POU4F1 (Hb),10,"(0,100]",TRUE
Br5422,11518,2495,2530,11682,11726,520,159,POU4F1,Hb,520 POU4F1 (Hb),10,"(0,100]",TRUE
Br5422,6662,1418,1458,8596,8621,570,129,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),1,"(0,100]",TRUE
Br6462,15795,3951,3992,9920,9959,570,118,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),1,"(0,100]",TRUE
Br8112,11952,1342,1374,5797,5773,570,95,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),1,"(0,100]",TRUE
Br5422,4936,2346,2384,7574,7611,570,125,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),2,"(0,100]",TRUE
Br8112,6591,3131,3158,8382,8370,570,70,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),2,"(0,100]",TRUE
Br6462,30521,3372,3395,15059,15096,570,66,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),2,"(0,100]",TRUE
Br8112,12171,4524,4557,5658,5636,570,69,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),3,"(0,100]",TRUE
Br6462,17100,5436,5469,10235,10273,570,64,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),3,"(0,100]",TRUE
Br5422,6784,1712,1748,8726,8755,570,104,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),3.5,"(0,100]",TRUE
Br5422,6857,4028,4062,8469,8502,570,104,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),3.5,"(0,100]",TRUE
Br8112,2328,4239,4271,11028,11003,570,67,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),4,"(0,100]",TRUE
Br6462,4214,12457,12511,4423,4464,570,59,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),4,"(0,100]",TRUE
Br5422,6733,851,880,8695,8730,570,96,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),5,"(0,100]",TRUE
Br6462,30520,3393,3418,15059,15093,570,56,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),5,"(0,100]",TRUE
Br8112,2223,3185,3207,11132,11119,570,66,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),5.5,"(0,100]",TRUE
Br8112,9462,1787,1808,6841,6822,570,66,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),5.5,"(0,100]",TRUE
Br5422,6661,1458,1495,8591,8624,570,92,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),6,"(0,100]",TRUE
Br6462,20124,8193,8225,10831,10852,570,53,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),6,"(0,100]",TRUE
Br8112,6684,3252,3287,8372,8358,570,60,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),7,"(0,100]",TRUE
Br6462,4117,10070,10097,4518,4544,570,51,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),7,"(0,100]",TRUE
Br5422,7109,6633,6663,8618,8653,570,85,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),7.5,"(0,100]",TRUE
Br5422,7113,6623,6650,8632,8661,570,85,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),7.5,"(0,100]",TRUE
Br8112,2875,3143,3175,10928,10915,570,56,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),8,"(0,100]",TRUE
Br6462,15665,3577,3611,9842,9876,570,49,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),8.5,"(0,100]",TRUE
Br6462,27591,11385,11420,13595,13628,570,49,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),8.5,"(0,100]",TRUE
Br5422,8554,2280,2313,9967,10009,570,74,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),9,"(0,100]",TRUE
Br8112,11953,1261,1285,5774,5760,570,55,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),9,"(0,100]",TRUE
Br5422,5608,2430,2462,7906,7933,570,69,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),10,"(0,100]",TRUE
Br6462,4118,10040,10073,4524,4554,570,44,SEMA3D,LHb.5/1,570 SEMA3D (LHb.5/1),10,"(0,100]",TRUE
Br6462,11087,9256,9298,8110,8149,620,86,TLE2,LHb.4,620 TLE2 (LHb.4),1,"(0,100]",TRUE
Br5422,2765,5572,5605,4847,4883,620,85,TLE2,LHb.4,620 TLE2 (LHb.4),1,"(0,100]",TRUE
Br8112,17134,4833,4868,3264,3241,620,65,TLE2,LHb.4,620 TLE2 (LHb.4),1,"(0,100]",TRUE
Br6462,17037,3360,3397,10274,10301,620,80,TLE2,LHb.4,620 TLE2 (LHb.4),2,"(0,100]",TRUE
Br5422,2807,7039,7069,5089,5117,620,70,TLE2,LHb.4,620 TLE2 (LHb.4),2,"(0,100]",TRUE
Br8112,15657,5452,5481,3988,3978,620,52,TLE2,LHb.4,620 TLE2 (LHb.4),2.5,"(0,100]",TRUE
Br8112,17863,5232,5263,2767,2749,620,52,TLE2,LHb.4,620 TLE2 (LHb.4),2.5,"(0,100]",TRUE
Br6462,1115,14215,14256,1525,1552,620,73,TLE2,LHb.4,620 TLE2 (LHb.4),3,"(0,100]",TRUE
Br5422,11191,5840,5875,11496,11529,620,62,TLE2,LHb.4,620 TLE2 (LHb.4),3,"(0,100]",TRUE
Br6462,18377,2227,2253,10681,10708,620,72,TLE2,LHb.4,620 TLE2 (LHb.4),4,"(0,100]",TRUE
Br8112,18846,8517,8563,2493,2472,620,50,TLE2,LHb.4,620 TLE2 (LHb.4),4,"(0,100]",TRUE
Br5422,2806,7169,7203,5088,5116,620,58,TLE2,LHb.4,620 TLE2 (LHb.4),5,"(0,100]",TRUE
Br5422,10356,3206,3226,10881,10906,620,58,TLE2,LHb.4,620 TLE2 (LHb.4),5,"(0,100]",TRUE
Br5422,14910,3392,3425,14323,14357,620,58,TLE2,LHb.4,620 TLE2 (LHb.4),5,"(0,100]",TRUE
Br8112,10764,7308,7349,6252,6228,620,47,TLE2,LHb.4,620 TLE2 (LHb.4),5,"(0,100]",TRUE
Br6462,7332,10961,10988,6572,6592,620,71,TLE2,LHb.4,620 TLE2 (LHb.4),5.5,"(0,100]",TRUE
Br6462,18374,2244,2285,10642,10675,620,71,TLE2,LHb.4,620 TLE2 (LHb.4),5.5,"(0,100]",TRUE
Br8112,16702,8512,8548,3461,3438,620,44,TLE2,LHb.4,620 TLE2 (LHb.4),6,"(0,100]",TRUE
Br6462,2014,13087,13113,2782,2806,620,69,TLE2,LHb.4,620 TLE2 (LHb.4),7,"(0,100]",TRUE
Br5422,6849,3579,3621,8715,8742,620,56,TLE2,LHb.4,620 TLE2 (LHb.4),7,"(0,100]",TRUE
Br8112,8329,6406,6441,7757,7740,620,41,TLE2,LHb.4,620 TLE2 (LHb.4),7,"(0,100]",TRUE
Br5422,9694,2806,2830,10520,10551,620,53,TLE2,LHb.4,620 TLE2 (LHb.4),8,"(0,100]",TRUE
Br8112,16518,6758,6798,3744,3719,620,40,TLE2,LHb.4,620 TLE2 (LHb.4),8,"(0,100]",TRUE
Br6462,11572,4823,4854,8486,8518,620,68,TLE2,LHb.4,620 TLE2 (LHb.4),8.5,"(0,100]",TRUE
Br6462,18451,3641,3673,10570,10595,620,68,TLE2,LHb.4,620 TLE2 (LHb.4),8.5,"(0,100]",TRUE
Br5422,2532,6810,6840,4709,4736,620,52,TLE2,LHb.4,620 TLE2 (LHb.4),9,"(0,100]",TRUE
Br8112,9088,6421,6450,7218,7204,620,39,TLE2,LHb.4,620 TLE2 (LHb.4),9.5,"(0,100]",TRUE
Br8112,17701,2993,3036,2826,2802,620,39,TLE2,LHb.4,620 TLE2 (LHb.4),9.5,"(0,100]",TRUE
Br6462,1521,15427,15464,1762,1801,620,60,TLE2,LHb.4,620 TLE2 (LHb.4),10,"(0,100]",TRUE
Br5422,1085,6964,7004,2218,2255,690,162,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),1,"(0,100]",TRUE
Br6462,7171,10540,10569,6577,6607,690,101,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),1,"(0,100]",TRUE
Br8112,2224,2974,3005,11129,11110,690,72,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),1.5,"(0,100]",TRUE
Br8112,2328,4239,4271,11028,11003,690,72,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),1.5,"(0,100]",TRUE
Br5422,2473,5279,5313,4524,4556,690,117,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),2,"(0,100]",TRUE
Br6462,9689,4391,4421,7823,7855,690,96,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),2,"(0,100]",TRUE
Br6462,21562,7087,7130,11411,11451,690,92,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),3,"(0,100]",TRUE
Br5422,7340,1454,1488,8962,8997,690,79,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),3,"(0,100]",TRUE
Br8112,11952,1342,1374,5797,5773,690,71,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),3,"(0,100]",TRUE
Br6462,6637,10173,10195,6222,6264,690,90,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),4,"(0,100]",TRUE
Br5422,9505,7714,7754,10129,10170,690,77,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),4,"(0,100]",TRUE
Br8112,12762,1087,1123,5390,5383,690,66,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),4,"(0,100]",TRUE
Br5422,3170,7099,7123,5316,5343,690,76,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),5,"(0,100]",TRUE
Br8112,2141,1561,1600,11334,11312,690,65,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),5,"(0,100]",TRUE
Br6462,7816,5542,5581,6908,6952,690,89,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),5.5,"(0,100]",TRUE
Br6462,12800,3334,3373,8900,8938,690,89,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),5.5,"(0,100]",TRUE
Br8112,16449,5082,5105,3433,3418,690,63,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),6,"(0,100]",TRUE
Br5422,15891,3361,3391,15226,15253,690,60,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),6,"(0,100]",TRUE
Br6462,7835,5361,5395,7017,7049,690,85,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),7,"(0,100]",TRUE
Br5422,4871,1691,1725,7233,7263,690,55,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),7,"(0,100]",TRUE
Br8112,2911,3408,3432,10817,10799,690,55,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),7,"(0,100]",TRUE
Br6462,7170,10527,10561,6553,6591,690,81,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),8,"(0,100]",TRUE
Br5422,11026,4228,4255,11491,11527,690,54,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),8,"(0,100]",TRUE
Br8112,2286,3327,3353,11237,11219,690,54,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),9,"(0,100]",TRUE
Br8112,5962,1154,1191,8628,8610,690,54,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),9,"(0,100]",TRUE
Br8112,19166,3523,3553,2015,2000,690,54,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),9,"(0,100]",TRUE
Br5422,6315,5026,5068,8237,8276,690,52,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),9,"(0,100]",TRUE
Br6462,12733,3664,3706,8853,8885,690,80,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),9.5,"(0,100]",TRUE
Br6462,12807,3246,3284,8949,8976,690,80,ONECUT2,LHb.1,690 ONECUT2 (LHb.1),9.5,"(0,100]",TRUE
