Sample,Object Id,XMin,XMax,YMin,YMax,probe,copies,marker,cluster,probe2,copies_rank,rank_cut,top400
Br6462,9760,5171,5216,7797,7835,520,838,POU4F1,Hb,520 POU4F1 (Hb),1,"(0,100]",TRUE
Br8112,4078,3100,3146,10013,9996,520,745,POU4F1,Hb,520 POU4F1 (Hb),1,"(0,100]",TRUE
Br5422,15387,4609,4651,14401,14439,520,281,POU4F1,Hb,520 POU4F1 (Hb),1,"(0,100]",TRUE
Br6462,9694,4782,4816,7865,7902,520,800,POU4F1,Hb,520 POU4F1 (Hb),2,"(0,100]",TRUE
Br8112,9223,8796,8837,7253,7228,520,603,POU4F1,Hb,520 POU4F1 (Hb),2,"(0,100]",TRUE
Br5422,8697,4916,4942,9813,9848,520,235,POU4F1,Hb,520 POU4F1 (Hb),2,"(0,100]",TRUE
Br6462,9775,4970,5007,7905,7945,520,779,POU4F1,Hb,520 POU4F1 (Hb),3,"(0,100]",TRUE
Br8112,6786,4773,4810,8327,8300,520,577,POU4F1,Hb,520 POU4F1 (Hb),3,"(0,100]",TRUE
Br5422,11613,3686,3723,11785,11825,520,213,POU4F1,Hb,520 POU4F1 (Hb),3,"(0,100]",TRUE
Br6462,10798,4515,4557,8057,8098,520,741,POU4F1,Hb,520 POU4F1 (Hb),4,"(0,100]",TRUE
Br8112,9528,2493,2529,6722,6694,520,556,POU4F1,Hb,520 POU4F1 (Hb),4,"(0,100]",TRUE
Br5422,9698,2842,2883,10590,10625,520,212,POU4F1,Hb,520 POU4F1 (Hb),4,"(0,100]",TRUE
Br6462,9744,4949,4982,7692,7731,520,736,POU4F1,Hb,520 POU4F1 (Hb),5,"(0,100]",TRUE
Br8112,6072,4465,4506,8634,8614,520,549,POU4F1,Hb,520 POU4F1 (Hb),5,"(0,100]",TRUE
Br5422,3896,3343,3373,6686,6723,520,207,POU4F1,Hb,520 POU4F1 (Hb),5,"(0,100]",TRUE
Br6462,9726,5476,5512,7682,7715,520,706,POU4F1,Hb,520 POU4F1 (Hb),6,"(0,100]",TRUE
Br8112,6074,4757,4798,8629,8607,520,484,POU4F1,Hb,520 POU4F1 (Hb),6,"(0,100]",TRUE
Br5422,7951,1560,1595,9537,9568,520,183,POU4F1,Hb,520 POU4F1 (Hb),6,"(0,100]",TRUE
Br6462,9685,4667,4702,7778,7813,520,705,POU4F1,Hb,520 POU4F1 (Hb),7,"(0,100]",TRUE
Br8112,8812,2766,2803,7292,7268,520,480,POU4F1,Hb,520 POU4F1 (Hb),7,"(0,100]",TRUE
Br5422,6123,1413,1445,8357,8398,520,175,POU4F1,Hb,520 POU4F1 (Hb),7,"(0,100]",TRUE
Br6462,7017,6211,6255,6534,6575,520,664,POU4F1,Hb,520 POU4F1 (Hb),8,"(0,100]",TRUE
