"","0.5:1e-04","0.5:1e-05","0.5:1e-06","0.75:1e-04","0.75:1e-05","0.75:1e-06","0.9:1e-04","0.9:1e-05","0.9:1e-06"
"0.68",0.991150418704342,0.938953848995092,0.79787176726073,0.0170569564731382,0.00293950557580636,0.000459991868214993,9.83307442160575e-05,9.82376034686094e-06,9.81615945416792e-07
"0.69",0.993820568199501,0.952643943109564,0.830237642651839,0.0190211812452639,0.00334066121215748,0.00053105534598008,0.00010441210562917,1.04668415300546e-05,1.04878234929995e-06
"0.7",0.995757391600227,0.963798211731356,0.859191639643568,0.0211842777442087,0.00379254664584794,0.000612574536550614,0.000110850473263979,1.11506431337283e-05,1.12045113842552e-06
"0.71",0.997136713751706,0.972735771767295,0.884698287547897,0.0235624734182275,0.00430089983521986,0.000705986717740137,0.000117666264257466,1.18777202815501e-05,1.19692457389853e-06
"0.72",0.998100951781408,0.979777216332824,0.906821272639326,0.0261727955449351,0.0048720002538436,0.000812908316796035,0.000124881021264955,1.26507859851133e-05,1.27852514653082e-06
"0.73",0.998762510323926,0.985230928212712,0.925709983757706,0.0290330415529211,0.00551270383098468,0.000935154063191668,0.000132517470906701,1.34727206305696e-05,1.36559691499283e-06
"0.74",0.999207901277279,0.989382704471881,0.941582761593706,0.032161738177653,0.00623047774844898,0.00107475766588483,0.000140599584984469,1.4346582011826e-05,1.45850693022975e-06
"0.75",0.999502091440791,0.992488777510231,0.954708395146729,0.0355780885561076,0.00703343466210438,0.00123399405144009,0.000149152644576933,1.52756159388368e-05,1.55764675224823e-06
"0.76",0.999692705112976,0.99477201421866,0.965387380172049,0.0393019064315019,0.00793036585642526,0.00141540318463074,0.000158203307130678,1.62632674535201e-05,1.66343406549085e-06
"0.77",0.999813833380428,0.996420853234512,0.973934279604917,0.0433535367302866,0.00893077277907217,0.00162181547525664,0.000167779676661151,1.73131926842762e-05,1.77631439690629e-06
"0.78",0.999889313021266,0.99759040917092,0.98066224210879,0.0477537618896126,0.0100448963407991,0.00185637875368716,0.000177911377186146,1.84292713735212e-05,1.8967629454858e-06
"0.79",0.999935427275071,0.998405127369271,0.985870388582523,0.0525236934557599,0.0112837433050034,0.00212258677282984,0.000188629629513049,1.96156201140996e-05,2.02528652870626e-06
"0.8",0.999963045172919,0.998962398592932,0.989834415838508,0.0576846486430468,0.012659109032357,0.00242430916564063,0.000199967331507067,2.08766063302113e-05,2.16242565365121e-06
"0.81",0.999979256777089,0.999336619919506,0.992800434471321,0.0632580117384181,0.014183595790668,0.00276582275477444,0.000211959141967588,2.22168630443775e-05,2.30875671991537e-06
"0.82",0.999988582274037,0.99958329422574,0.994981786293929,0.0692650804585555,0.0158706257900982,0.00315184407443447,0.000224641568246531,2.36413044679695e-05,2.46489436384056e-06
"0.83",0.999993838331173,0.999742876373857,0.996558394383962,0.0757268976124942,0.0177344480609268,0.00358756292387452,0.000238053057740162,2.51551424601537e-05,2.63149395018925e-06
"0.84",0.999996740499052,0.999844183974873,0.997678090948201,0.0826640686911796,0.0197901382571463,0.00407867672741047,0.000252234093392256,2.67639038988854e-05,2.809254222913e-06
"0.85",0.999998310111261,0.999907284093271,0.99845933843229,0.0900965662931149,0.0220535904463579,0.00463142542734751,0.000267227293347938,2.84734490095806e-05,2.99892012334269e-06
"0.86",0.999999141498509,0.999945839258262,0.998994792822391,0.0980435225983671,0.0245414999368055,0.00525262658419645,0.0002830775148982,3.02899907016485e-05,3.20128578523704e-06
"0.87",0.999999572709684,0.999968945737,0.999355235746401,0.106523011417011,0.0272713361980862,0.00594971030332925,0.000299831962859098,3.22201149611789e-05,3.41719771945748e-06
"0.88",0.99999979168115,0.999982526339966,0.999593503905631,0.115551821657066,0.0302613049551872,0.00673075354933772,0.00031754030253095,3.4270802354297e-05,3.64755819703966e-06
"0.89",0.999999900532004,0.999990352962641,0.999748152869624,0.125145224374821,0.0335302985780315,0.00760451334949275,0.000336254777382528,3.64494506955859e-05,3.8933288453169e-06
"0.9",0.999999953493416,0.999994775143081,0.999846693700358,0.135316735880206,0.0370978339525017,0.00858045832669763,0.000356030331611135,3.87638989379768e-05,4.15553446697636e-06
"0.91",0.999999978711259,0.9999972244464,0.999908326371686,0.146077879663937,0.0409839771055727,0.00966879794120223,0.000376924737725659,4.12224523453908e-05,4.43526709770214e-06
"0.92",0.999999990460639,0.99999855407614,0.999946159247798,0.157437950183677,0.0452092539680049,0.0108805087602699,0.00039899872930349,4.38339090084172e-05,4.73369031495086e-06
"0.93",0.999999995816374,0.99999926143458,0.999968948495483,0.169403781785076,0.049794546793961,0.012227357017336,0.000422316139072065,4.66075877687544e-05,5.05204381340274e-06
"0.94",0.999999998204514,0.999999630164427,0.999982417397167,0.181979526232062,0.0547609759183528,0.0137219166684709,0.000446944042466813,4.95533576192475e-05,5.39164826252048e-06
"0.95",0.999999999246056,0.999999818475936,0.999990226764643,0.195166442471059,0.0601297667196128,0.0153775821058575,0.000472952906814483,5.26816686485798e-05,5.75391046198082e-06
"0.96",0.999999999690288,0.999999912683494,0.999994668181568,0.208962702348171,0.0659221018672166,0.0172085746473188,0.000500416746294863,5.60035846046691e-05,6.14032881463e-06
"0.97",0.999999999875556,0.999999958844579,0.999997145548596,0.223363216029757,0.0721589591682837,0.0192299418896255,0.000529413282827962,5.95308171496001e-05,6.55249913150691e-06
"0.98",0.999999999951099,0.999999980995376,0.999998500625652,0.238359480839211,0.0788609355838438,0.0214575489933906,0.000560024113036017,6.32757618864721e-05,6.99212079224854e-06
"0.99",0.99999999998121,0.999999991403392,0.999999227375136,0.253939457111152,0.0860480582600199,0.0239080609608996,0.00059233488142707,6.72515362372117e-05,7.46100327786436e-06
"1",0.999999999992941,0.999999996191399,0.999999609491302,0.270087474475176,0.0937395837087873,0.0265989149772654,0.000626435459942454,7.1472019255947e-05,7.9610730995272e-06
"1.01",0.999999999997408,0.999999998347618,0.999999806433786,0.286784171713065,0.101953786572685,0.0295482819118925,0.000662420134010744,7.5951893463988e-05,8.49438114391976e-06
"1.02",0.999999999999069,0.999999999298062,0.999999905919487,0.304006472985745,0.110707739712706,0.0327750161232585,0.000700387795244839,8.07066887972274e-05,9.06311046067199e-06
"1.03",0.999999999999674,0.999999999708077,0.99999995516919,0.321727602801611,0.120017087662649,0.0362985927772138,0.00074044214091562,8.5752828757002e-05,9.66958451475985e-06
"1.04",0.999999999999888,0.999999999881161,0.99999997905903,0.339917141599912,0.129895815789985,0.0401390319788458,0.000782691880330977,9.11076788616683e-05,1.03162759317321e-05
"1.05",0.999999999999962,0.999999999952652,0.999999990412669,0.358541123258314,0.140356017785672,0.0443168091316031,0.000827250948243652,9.67895974963717e-05,1.10058157616333e-05
"1.06",0.999999999999988,0.999999999981539,0.999999995698521,0.377562175210568,0.151407664365928,0.0488527510755987,0.000874238725403709,0.000102817989264814,1.17410032911547e-05
"1.07",0.999999999999996,0.999999999992957,0.99999999810898,0.396939701189204,0.163058376300049,0.0537679177201112,0.000923780266367524,0.000109213360945493,1.25248164344338e-05
"1.08",0.999999999999999,0.999999999997371,0.999999999185534,0.416630105901308,0.175313205072195,0.0590834690730124,0.000976006534662788,0.00011599738016288,1.33604227333661e-05
"1.09",1,0.99999999999904,0.999999999656371,0.436587060216927,0.188174424634084,0.0648205177813415,0.00103105464540598,0.000123192936883787,1.4251191001402e-05
"1.1",1,0.999999999999657,0.999999999858001,0.456761804714643,0.20164133780254,0.0709999675309808,0.00108906811545417,0.000130824207853708,1.52007036449131e-05
"1.11",1,0.99999999999988,0.999999999942534,0.477103488703719,0.215710100894236,0.0776423379071611,0.00115019712116526,0.000138916724089611,1.62127696993197e-05
"1.12",1,0.999999999999959,0.999999999977228,0.497559541143763,0.230373570164011,0.0847675765883501,0.00121459876382934,0.000147497441551736,1.72914386177281e-05
"1.13",1,0.999999999999986,0.999999999991165,0.518076069228168,0.245621173518187,0.0923948600302661,0.00128243734282008,0.000156594815115763,1.84410148522662e-05
"1.14",1,0.999999999999996,0.999999999996645,0.53859827980318,0.261438810806934,0.100542384089836,0.00135388463650243,0.000166238875973668,1.96660732696419e-05
"1.15",1,0.999999999999999,0.999999999998753,0.55907091827624,0.277808785758226,0.109227146335708,0.00142912019091823,0.000176461312591303,2.09714754453305e-05
"1.16",1,1,0.999999999999546,0.579438719239569,0.294709772299962,0.118464722086645,0.00150833161625608,0.000187295555356015,2.23623868814693e-05
"1.17",1,1,0.999999999999838,0.599646862710511,0.312116817628244,0.128269036505297,0.00159171489109233,0.000198776865048544,2.38442951969731e-05
"1.18",1,1,0.999999999999944,0.619641429679243,0.330001383921997,0.138652135345686,0.00167947467437723,0.000210942425277083,2.54230293391666e-05
"1.19",1,1,0.999999999999981,0.639369850564803,0.348331430082849,0.149623957200963,0.00177182462511427,0.000223831439013167,2.71047798692248e-05
"1.2",1,1,0.999999999999994,0.658781340216939,0.367071534301745,0.161192110316275,0.00186898772966559,0.000237485229372503,2.88961203768201e-05
"1.21",1,1,0.999999999999998,0.677827313265311,0.386183057629711,0.17336165721251,0.00197119663659118,0.000251947344783843,3.08040300786017e-05
"1.22",1,1,0.999999999999999,0.696461773907912,0.405624348070439,0.186134910503072,0.00207869399890859,0.000267263668693341,3.28359176623438e-05
"1.23",1,1,1,0.714641674641674,0.425350984029745,0.199511243371002,0.00219173282363272,0.000283482533953383,3.49996464358293e-05
"1.24",1,1,1,0.732327238962384,0.445316055265214,0.213486918201375,0.00231057682843061,0.000300654842042891,3.73035608467465e-05
"1.25",1,1,1,0.749482243686518,0.465470478793533,0.228054936828968,0.00243550080520016,0.000318834187273409,3.97565144384382e-05
"1.26",1,1,1,0.766074257260708,0.485763346548399,0.243204915759251,0.00256679099034895,0.000338076986130309,4.23678993127785e-05
"1.27",1,1,1,0.78207483120866,0.50614230095429,0.25892298954905,0.00270474544152344,0.00035844261190332,4.51476771708981e-05
"1.28",1,1,1,0.797459642702178,0.526553934006143,0.275191745290253,0.00284967442050299,0.00037999353475926,4.81064120070318e-05
"1.29",1,1,1,0.812208587112842,0.54694420493675,0.291990190825845,0.0030019007819434,0.000402795467408734,5.12553045344255e-05
"1.3",1,1,1,0.826305820283157,0.567258871126313,0.30929375894438,0.00316176036761739,0.000426917516521796,5.46062284220161e-05
"1.31",1,1,1,0.839739751130204,0.587443926573566,0.327074349350233,0.00332960240576452,0.000452432340041997,5.81717684269289e-05
"1.32",1,1,1,0.852502986040347,0.607446042016103,0.345300409698587,0.00350578991512462,0.000479416310551595,6.1965260509389e-05
"1.33",1,1,1,0.864592227311366,0.627213000665783,0.363937056423085,0.00369070011319139,0.000507949684834585,6.60008340191975e-05
"1.34",1,1,1,0.876008128630658,0.64669412351941,0.382946235479978,0.00388472482817936,0.000538116779786546,7.02934560470325e-05
"1.35",1,1,1,0.886755111229238,0.665840678316987,0.402286922495857,0.00408827091415864,0.000570006154814062,7.4858978035941e-05
"1.36",1,1,1,0.896841144908092,0.684606266449429,0.421915361149076,0.00430176066876775,0.000603710800862856,7.97141847531657e-05
"1.37",1,1,1,0.90627749858563,0.702947182460901,0.441785337950987,0.00452563225286751,0.000639328336214606,8.48768457235582e-05
"1.38",1,1,1,0.915078465355389,0.720822741241563,0.461848490936147,0.00476034011145798,0.000676961209181037,9.03657692306048e-05
"1.39",1,1,1,0.92326106726767,0.738195568554667,0.482054649135667,0.00500635539512995,0.000716716907822823,9.62008589932006e-05
"1.4",1,1,1,0.930844745156706,0.755031851176156,0.502352199109333,0.00526416638127492,0.000758708176815448,0.000102403173631305
"1.41",1,1,1,0.937851038828575,0.771301543630423,0.522688474264821,0.00553427889422931,0.000803053241572926,0.000108994989033939
"1.42",1,1,1,0.944303262809777,0.7869785292671,0.543010162209613,0.00581721672347757,0.00084987603973774,0.000115999863748772
"1.43",1,1,1,0.950226182640011,0.802040734222515,0.563263724976487,0.00611352203898852,0.000899306460133142,0.000123442707515298
"1.44",1,1,1,0.955645696385767,0.816470193627944,0.583395826646966,0.00642375580270604,0.000951480589266418,0.000131349853063845
"1.45",1,1,1,0.96058852566585,0.83025307024564,0.603353762679093,0.00674849817516465,0.00100654096546182,0.000139749131311651
"1.46",1,1,1,0.96508192002982,0.843379626514477,0.623085885132725,0.00708834891614563,0.00106463684068736,0.000148669950082336
"1.47",1,1,1,0.969153378029912,0.855844151751835,0.642542017982381,0.0074439277782381,0.00112592445013349,0.000158143376486342
"1.48",1,1,1,0.972830387791694,0.867644846970207,0.661673856816274,0.00781587489211233,0.00119056728958022,0.000168202223095437
"1.49",1,1,1,0.976140189333291,0.878783670410974,0.680435347439853,0.00820485114226321,0.00125873640058372,0.000178881138052533
"1.5",1,1,1,0.979109560322444,0.889266147460881,0.698783038229676,0.00861153853192409,0.00133061066348994,0.000190216699256895
"1.51",1,1,1,0.98176462640833,0.899101149088053,0.716676401511748,0.00903664053579989,0.00140637709827141,0.000202247512770204
"1.52",1,1,1,0.984130696733843,0.908300643306524,0.734078119759724,0.00948088243921552,0.0014862311731636,0.000215014315588014
"1.53",1,1,1,0.986232124734648,0.916879424445528,0.750954333010303,0.00994501166222184,0.0015703771210569,0.000228560082927154
"1.54",1,1,1,0.988092193873214,0.924854825160525,0.767274844563046,0.0104297980671505,0.00165902826358388,0.000242930140177511
"1.55",1,1,1,0.989733027546499,0.932246416177332,0.783013282754205,0.0109360342480604,0.00175240734281312,0.00025817227967051
"1.56",1,1,1,0.991175522050549,0.939075698712544,0.798147217352839,0.0114645358004651,0.0018507468604464,0.000274336882419179
"1.57",1,1,1,0.992439301187338,0.945365794368274,0.812658229904923,0.0120161415696886,0.00195428942438314,0.000291477044981225
"1.58",1,1,1,0.993542690860548,0.951141137065568,0.82653193813005,0.012591713876145,0.00206328810249756,0.000309648711603661
"1.59",1,1,1,0.994502711827273,0.956427171268529,0.83975797523794,0.013192138715801,0.00217800678344149,0.000328910811801975
"1.6",1,1,1,0.99533508865037,0.961250060371951,0.852329925761603,0.0138183259340308,0.00229872054425984,0.000349325403531719
"1.61",1,1,1,0.99605427282804,0.965636408691833,0.864245220184876,0.0144712093710413,0.00242571602457686,0.000370957822106832
"1.62",1,1,1,0.996673478059116,0.969613000023888,0.875504991260054,0.0151517469770074,0.00255929180707615,0.000393876835019791
"1.63",1,1,1,0.997204725629236,0.97320655523377,0.886113895454058,0.015860920895022,0.00269975880396811,0.000418154802818371
"1.64",1,1,1,0.997658897968796,0.976443510827651,0.896079903419088,0.0165997375099413,0.00284744064910381,0.000443867846189883
"1.65",1,1,1,0.998045798532152,0.979349819936002,0.905414063748374,0.0173692274611768,0.00300267409535548,0.000471096019403539
"1.66",1,1,1,0.998374216272603,0.981950776638937,0.914130244544359,0.0181704456174673,0.00316580941685118,0.000499923490258958
