"","0.5:1e-04","0.5:1e-05","0.5:1e-06","0.75:1e-04","0.75:1e-05","0.75:1e-06","0.9:1e-04","0.9:1e-05","0.9:1e-06"
"0",0,0,0,0,0,0,0,0,0
"0.01",2.03433018208798e-07,1.81269218524349e-08,1.64987745687739e-09,3.83837133188791e-08,3.41805095338543e-09,3.10946157711101e-10,6.54179932446652e-09,5.82473291821373e-10,5.29833954487913e-11
"0.02",8.35779837782269e-07,7.46446128241374e-08,6.806821106764e-09,1.54320086043214e-07,1.37481678263995e-08,1.25114330007392e-09,2.619000794013e-08,2.33209906941312e-09,2.12147188705103e-10
"0.03",1.96550136444262e-06,1.76219062231198e-07,1.61198981940558e-08,3.50180417219015e-07,3.12199532892521e-08,2.84284817908542e-09,5.90131343791711e-08,5.25550347685311e-09,4.78133088677168e-10
"0.04",3.71465039727958e-06,3.34841263383012e-07,3.07650029895967e-08,6.29969160725885e-07,5.62218193111974e-08,5.12376452377339e-09,1.05125617433366e-07,9.36375832427672e-09,8.5201379285138e-10
"0.05",6.27160671562432e-06,5.69258087446123e-07,5.25993587574547e-08,9.9940337427995e-07,8.93097333865001e-08,8.14797262993494e-09,1.64688213843966e-07,1.46724236094187e-08,1.33529720613978e-09
"0.06",9.91058574473236e-06,9.07206415212691e-07,8.44062845173355e-08,1.46602599060408e-06,1.31219736188015e-07,1.19872636261675e-08,2.3790854219996e-07,2.12016073586341e-08,1.92993276915132e-09
"0.07",1.50197496872062e-05,1.38871094901294e-06,1.30263139830333e-07,2.03935499476504e-06,1.82884511645831e-07,1.67329132771954e-08,3.25041785487201e-07,2.89760424543317e-08,2.63832000690911e-09
"0.08",2.21404900420108e-05,2.07082543524084e-06,1.96081692882544e-07,2.73107123183181e-06,2.45454377711951e-07,2.24979391783009e-08,4.26391555063965e-07,3.80251817810873e-08,3.46331829881308e-09
"0.09",3.2021359587131e-05,3.03435489490411e-06,2.90392790591731e-07,3.55524825790265e-06,3.20323165658998e-07,2.94198991834804e-08,5.42310916729072e-07,4.83833112463472e-08,4.40825886904861e-09
"0.1",4.56912517556862e-05,4.39330702806107e-06,4.25478841603599e-07,4.52862838129509e-06,4.09159562009265e-07,3.76643033428437e-08,6.73203584211635e-07,6.00896812308349e-08,5.47695899744127e-09
"0.11",6.45577957403276e-05,6.30810181090347e-06,6.19001958690468e-07,5.67094983072725e-06,5.1394460565124e-07,4.74287230600723e-08,8.19525282635958e-07,7.31886574678597e-08,6.67373789564607e-09
"0.12",9.05385901902589e-05,9.00394115677106e-06,8.96337600142516e-07,7.00533084818655e-06,6.3701616381806e-07,5.89477051615717e-08,9.81785287401671e-07,8.77298907964175e-08,8.00343502582734e-09
"0.13",0.000126234857049212,1.2796231607215e-05,1.29390989178635e-06,8.55871743821179e-06,7.81121360926562e-07,7.24986125577587e-08,1.16054814069955e-06,1.03768507897506e-07,9.47143008467322e-09
"0.14",0.000175159355867427,1.81255933523472e-05,1.86394435719439e-06,1.03624025336035e-05,9.49478101475165e-07,8.84085391561484e-08,1.3564355550999e-06,1.21365322902633e-07,1.10836663180791e-08
"0.15",0.000242032915190982,2.56058137081405e-05,2.68121816504596e-06,1.24526254531299e-05,1.1458470166037e-06,1.07062474885566e-07,1.5701285058789e-06,1.40587070429632e-07,1.28466747240097e-08
"0.16",0.000333166611655944,3.60891507161787e-05,3.85261225199773e-06,1.48712617632496e-05,1.37461538007866e-06,1.28912923003099e-07,1.80236952196378e-06,1.61506661711108e-07,1.47676024742083e-08
"0.17",0.000456949279683538,5.07547012226217e-05,5.53057287611125e-06,1.76666150000226e-05,1.64089478260632e-06,1.54491214043873e-07,2.05396518004886e-06,1.84203463926558e-07,1.68542422240847e-08
"0.18",0.000624462380576452,7.12271516258856e-05,7.93199602733274e-06,2.0894323188192e-05,1.95063463126477e-06,1.84420794191453e-07,2.32578881165235e-06,2.08763604847562e-07,1.91150655304284e-08
"0.19",0.000850245883703415,9.97351507788791e-05,1.13645854167288e-05,2.46183947103518e-05,2.31075385281887e-06,2.19432822468058e-07,2.61878343010835e-06,2.3528030279607e-07,2.15592583785451e-08
"0.2",0.00115323914532894,0.00013932078341905,1.62634372509185e-05,2.89123898475907e-05,2.72929353739571e-06,2.60384459771501e-07,2.9339648870419e-06,2.6385422380315e-07,2.41967599290405e-08
"0.21",0.00155791907750591,0.000194114142578528,2.32415106811157e-05,3.38607662361268e-05,3.21559366378565e-06,3.08280300731489e-07,3.27242526720894e-06,2.9459386763353e-07,2.70383045952727e-08
"0.22",0.00209565328457062,0.00026968970931085,3.31587921474918e-05,3.95604085763335e-05,3.78049750138221e-06,3.64297474741981e-07,3.63533653380266e-06,3.27615983231055e-07,3.00954676735188e-08
"0.23",0.00280627728501126,0.00037352397894852,4.72163941452886e-05,4.61223651934128e-05,4.43658780446832e-06,4.29815024571845e-07,4.02395443355186e-06,3.63046015805502e-07,3.33807137486986e-08
"0.24",0.00373989135390662,0.00051557625350851,6.70835767268008e-05,5.36738164887973e-05,5.19845949353837e-06,5.06448277204363e-07,4.43962267371312e-06,4.01018587448121e-07,3.69074499850797e-08
"0.25",0.00495885290570319,0.000709016349827007,9.50677602333805e-05,6.2360302942488e-05,6.08303417937162e-06,5.96089029802904e-07,4.88377738450119e-06,4.41678011386948e-07,4.06900826366297e-08
"0.26",0.00653991392663456,0.000971123601700152,0.000134339999381505,7.23482431210787e-05,7.10992261998555e-06,7.00952513810194e-07,5.35795187917021e-06,4.85178845321954e-07,4.47440782203046e-08
"0.27",0.00857641948468968,0.00132438024697956,0.000189231056649364,8.3827775119949e-05,8.30184203326478e-06,8.23632246516048e-07,5.86378172739987e-06,5.31686481397564e-07,4.90860291302297e-08
"0.28",0.0111804432894932,0.00179777821281213,0.000265616026792426,9.70159580016006e-05,9.68509611143364e-06,9.67164061838055e-07,6.40301015453204e-06,5.81377778696712e-07,5.37337238037949e-08
"0.29",0.0144846912239892,0.00242835044140732,0.000371408215026792,0.000112160373075265,1.12901266249299e-05,1.13510081045654e-06,6.97749378619772e-06,6.34441738811553e-07,5.87062224388646e-08
"0.3",0.0186439566755174,0.00326292517332816,0.000517185334495407,0.000129543168278401,1.31521466504303e-05,1.33159945348016e-06,7.58920875132407e-06,6.91080227488428e-07,6.40239379290364e-08
"0.31",0.0238358668857432,0.00436008302226265,0.00071697259932757,0.000149485592429222,1.53118667449714e-05,1.56152254127129e-06,8.24025716505972e-06,7.51508744345486e-07,6.97087224610371e-08
"0.32",0.0302606235723401,0.00579227146226047,0.000989207323923602,0.000172353069695208,1.78163268053089e-05,1.8305563705967e-06,8.93287400716147e-06,8.15957245214882e-07,7.5783960884479e-08
"0.33",0.0381394213314171,0.00764799919196235,0.00135790740773822,0.000198560868210351,2.07198479166282e-05,2.14534846543213e-06,9.66943441860213e-06,8.84671017442606e-07,8.22746691886422e-08
"0.34",0.0477112322918583,0.0100339941592932,0.00185406064897531,0.000228580420321478,2.4085120221562e-05,2.51366741788051e-06,1.04524614347179e-05,9.57911614474227e-07,8.92076021941079e-08
"0.35",0.0592276836494805,0.0130771652713584,0.00251724214987037,0.000262946355373606,2.79844447275135e-05,2.94458858207669e-06,1.12846341797646e-05,1.03595785017063e-06,9.66113663514179e-08
"0.36",0.0729458332856865,0.0169261617294241,0.00339745209913878,0.000302264309179012,3.25011490365235e-05,3.44870962143418e-06,1.21687965434214e-05,1.11910685873795e-06,1.04516542087651e-07
"0.37",0.089118772073152,0.0217522797731472,0.00455714502293125,0.000347219577251368,3.77311992226792e-05,4.03840049290061e-06,1.31079663657774e-05,1.20767522293619e-06,1.12955814035587e-07
"0.38",0.10798414958246,0.0277494301995316,0.00607339359102566,0.000398586681407687,4.37850325127886e-05,4.7280931051441e-06,1.41053451553352e-05,1.30200017434134e-06,1.21964110144646e-07
"0.39",0.129750926568259,0.0351328585202699,0.0080400952320997,0.000457239921320962,5.07896380437245e-05,5.53461663033161e-06,1.51643283674563e-05,1.40244087210029e-06,1.31578750450778e-07
"0.4",0.154584889552029,0.044136311106213,0.0105700889905127,0.000524164983885189,5.88909157709372e-05,6.47758527783093e-06,1.62885162721116e-05,1.50937976139964e-06,1.41839606171423e-07
"0.41",0.182593699408901,0.0550073732712296,0.013797005229729,0.000600471683674164,6.82563465906894e-05,7.57984627675068e-06,1.74817254394721e-05,1.62322401930926e-06,1.52789269791676e-07
"0.42",0.213812460087333,0.068000775989473,0.0178766253197629,0.00068740790713373,7.90780098967048e-05,8.86799685606565e-06,1.87480008759788e-05,1.74440709244106e-06,1.64473236363705e-07
"0.43",0.248190954330874,0.0833695812813944,0.0229874872162379,0.000786374831255099,9.1575988112047e-05,1.03729801823604e-05,2.00916288426445e-05,1.8733903313084e-06,1.76940097573741e-07
"0.44",0.28558376898181,0.101354312581443,0.0293304421848323,0.000898943484090364,0.000106002201192945,1.21307715125196e-05,2.15171503906708e-05,2.01066472671485e-06,1.9024174879867e-07
"0.45",0.325744495846332,0.122170290379136,0.0371268553335742,0.00102687270936541,0.000122644717670983,1.41831672615389e-05,2.30293756495747e-05,2.15675275672123e-06,2.04433610595522e-07
"0.46",0.368325027337233,0.14599365327483,0.0466151560955734,0.00117212859035398,0.000141832592436941,1.65786912801336e-05,2.46333989062375e-05,2.31221034718843e-06,2.19574864068761e-07
"0.47",0.412880665528994,0.172946771618061,0.0580454919239403,0.00133690537883691,0.000163941285140634,1.93736343950812e-05,2.63346145131793e-05,2.47762895611014e-06,2.35728704112148e-07
"0.48",0.458881342804254,0.203083970324575,0.0716723250782474,0.00152364796310811,0.00018939871671364,2.26332451921385e-05,2.81387336688033e-05,2.65363778639838e-06,2.52962607749652e-07
"0.49",0.505728744576692,0.236378640458277,0.0877449411852116,0.00173507589431743,0.000218692025055423,2.64330921347922e-05,3.00518021112417e-05,2.84090613622556e-06,2.7134862168321e-07
"0.5",0.552778579102479,0.272712906061444,0.106496007287135,0.00197420897270417,0.000252375084271561,3.08606194040495e-05,3.20802187707692e-05,3.0401458945839e-06,2.9096366949144e-07
"0.51",0.59936671738936,0.31187099728208,0.128128518522706,0.00224439437418422,0.000291076854913364,3.60169213370343e-05,3.42307554291876e-05,3.25211419049953e-06,3.11889878146232e-07
"0.52",0.644837492931924,0.35353734496133,0.152801692050199,0.00254933527309076,0.000335510635328995,4.20187630231217e-05,3.65105774332575e-05,3.47761620522746e-06,3.34214927844023e-07
"0.53",0.68857216620221,0.397300149935848,0.180616583605786,0.00289312088839622,0.000386484286368449,4.90008774943762e-05,3.89272655145767e-05,3.71750815675309e-06,3.58032424818688e-07
"0.54",0.730015467095327,0.442660802650582,0.211602390397566,0.00328025784830044,0.000444911503123868,5.71185730124935e-05,4.1488838768533e-05,3.97270046670339e-06,3.8344229857934e-07
"0.55",0.768698251213473,0.489049062690416,0.245704535463934,0.00371570273153221,0.000511824207988676,6.65506872001842e-05,4.4203778848062e-05,4.24416112043691e-06,4.10551226570632e-07
"0.56",0.804254636242622,0.535843396807352,0.282775675690252,0.00420489560301474,0.000588386138866803,7.75029281764317e-05,4.70810554299428e-05,4.53291923163679e-06,4.39473086477626e-07
"0.57",0.836432487524655,0.582395372956592,0.322570716082685,0.00475379431672751,0.000675907704678069,9.02116464053249e-05,5.01301530138054e-05,4.84006882262022e-06,4.70329439172801e-07
"0.58",0.865096737918022,0.628056576824743,0.364746733932237,0.00536890930977163,0.000775862177147757,0.000104948084637901,5.33610991158007e-05,5.16677283346478e-06,5.03250043859538e-07
"0.59",0.890225681261821,0.672206213071835,0.408868418833371,0.00605733855904167,0.000889903282999538,0.000122023157062112,5.67844939234341e-05,5.51426737338545e-06,5.38373406633319e-07
"0.6",0.911900992032654,0.714277420628608,0.454419234561084,0.00682680231589206,0.00101988425384958,0.000141792812544339,6.04115414772899e-05,5.88386622724091e-06,5.75847366457438e-07
"0.61",0.930292724684558,0.753780394729689,0.500818038946328,0.00768567717525637,0.00116787838204369,0.000164664040574358,6.42540824516979e-05,6.27696563293423e-06,6.1582971955243e-07
"0.62",0.945640881552378,0.790320667961196,0.547440404160049,0.00864302897448399,0.00133620111913224,0.000191101582146191,6.83246286051764e-05,6.69504934391885e-06,6.58488885196817e-07
"0.63",0.958235280379652,0.823611332424827,0.593643417005061,0.00970864395453597,0.00152743373935726,0.000221635411230992,7.26363989781431e-05,7.1396939942403e-06,7.04004614937581e-07
"0.64",0.968395401824002,0.853478536004955,0.638792363464042,0.0108930575531191,0.00174444857316591,0.000256869055622166,7.72033579152787e-05,7.61257478243405e-06,7.52568749873284e-07
"0.65",0.976451679808915,0.879860192205586,0.682287464047527,0.0122075801370256,0.00199043579510805,0.000297488828639114,8.20402549929211e-05,8.11547149270897e-06,8.04386026231896e-07
"0.66",0.982729358926934,0.902798432949576,0.723588762337158,0.0136643189207523,0.00226893172627818,0.000344274045323445,8.71626669375347e-05,8.65027487151337e-06,8.5967493523853e-07
"0.67",0.987535639424615,0.922426838988972,0.762237393849806,0.0152761952619508,0.00258384858352612,0.00039810829819853,9.25870416197405e-05,9.21899338068854e-06,9.18668638827391e-07
