"","ensembl","gene","cellType"
"1","ENSG00000197921","HES5","Astrocyte"
"2","ENSG00000168505","GBX2","Astrocyte"
"3","ENSG00000233611","AC019068.1","Astrocyte"
"4","ENSG00000237742","AL365259.1","Astrocyte"
"5","ENSG00000238230","LINC00391","Astrocyte"
"6","ENSG00000072310","SREBF1","Astrocyte"
"7","ENSG00000267339","LINC00906","Astrocyte"
"8","ENSG00000087076","HSD17B14","Astrocyte"
"9","ENSG00000163492","CCDC141","Endo"
"10","ENSG00000081985","IL12RB2","Excit.Thal"
"11","ENSG00000163492","CCDC141","Excit.Thal"
"12","ENSG00000168505","GBX2","Excit.Thal"
"13","ENSG00000233611","AC019068.1","Excit.Thal"
"14","ENSG00000139287","TPH2","Excit.Thal"
"15","ENSG00000101670","LIPG","Excit.Thal"
"16","ENSG00000081985","IL12RB2","Inhib.Thal"
"17","ENSG00000182580","EPHB3","Inhib.Thal"
"18","ENSG00000179431","FJX1","Inhib.Thal"
"19","ENSG00000186648","CARMIL3","Inhib.Thal"
"20","ENSG00000103653","CSK","Inhib.Thal"
"21","ENSG00000166780","BMERB1","Inhib.Thal"
"22","ENSG00000087076","HSD17B14","Inhib.Thal"
"23","ENSG00000198911","SREBF2","Inhib.Thal"
"24","ENSG00000113249","HAVCR1","Microglia"
"25","ENSG00000159842","ABR","Microglia"
"26","ENSG00000101670","LIPG","Microglia"
"27","ENSG00000110900","TSPAN11","OPC"
"28","ENSG00000267339","LINC00906","OPC"
