"","ensembl","gene","cellType"
"1","ENSG00000137834","SMAD6","Astrocyte"
"2","ENSG00000142910","TINAGL1","Endo"
"3","ENSG00000213949","ITGA1","Endo"
"4","ENSG00000198682","PAPSS2","Endo"
"5","ENSG00000102755","FLT1","Endo"
"6","ENSG00000187498","COL4A1","Endo"
"7","ENSG00000130052","STARD8","Endo"
"8","ENSG00000135426","TESPA1","Excit.Thal"
"9","ENSG00000228526","MIR34AHG","Microglia"
"10","ENSG00000170542","SERPINB9","Microglia"
"11","ENSG00000111859","NEDD9","Microglia"
"12","ENSG00000008513","ST3GAL1","Microglia"
"13","ENSG00000197142","ACSL5","Microglia"
"14","ENSG00000102755","FLT1","Microglia"
"15","ENSG00000137834","SMAD6","Microglia"
"16","ENSG00000261371","PECAM1","Microglia"
"17","ENSG00000099725","PRKY","Microglia"
