"","ensembl","gene","cellType"
"1","ENSG00000259820","AC083843.3","Astrocyte"
"2","ENSG00000137834","SMAD6","Astrocyte"
"3","ENSG00000142910","TINAGL1","Endo"
"4","ENSG00000153250","RBMS1","Endo"
"5","ENSG00000213949","ITGA1","Endo"
"6","ENSG00000128567","PODXL","Endo"
"7","ENSG00000198682","PAPSS2","Endo"
"8","ENSG00000102755","FLT1","Endo"
"9","ENSG00000187498","COL4A1","Endo"
"10","ENSG00000108622","ICAM2","Endo"
"11","ENSG00000130052","STARD8","Endo"
"12","ENSG00000135426","TESPA1","Excit.Thal"
"13","ENSG00000168993","CPLX1","Inhib.Thal"
"14","ENSG00000198682","PAPSS2","Inhib.Thal"
"15","ENSG00000136111","TBC1D4","Inhib.Thal"
"16","ENSG00000187498","COL4A1","Inhib.Thal"
"17","ENSG00000173868","PHOSPHO1","Inhib.Thal"
"18","ENSG00000261371","PECAM1","Inhib.Thal"
"19","ENSG00000173868","PHOSPHO1","LHb.3"
"20","ENSG00000127954","STEAP4","MHb.2"
"21","ENSG00000228526","MIR34AHG","Microglia"
"22","ENSG00000143756","FBXO28","Microglia"
"23","ENSG00000170542","SERPINB9","Microglia"
"24","ENSG00000111859","NEDD9","Microglia"
"25","ENSG00000147454","SLC25A37","Microglia"
"26","ENSG00000008513","ST3GAL1","Microglia"
"27","ENSG00000197142","ACSL5","Microglia"
"28","ENSG00000102755","FLT1","Microglia"
"29","ENSG00000136111","TBC1D4","Microglia"
"30","ENSG00000137834","SMAD6","Microglia"
"31","ENSG00000261371","PECAM1","Microglia"
"32","ENSG00000105227","PRX","Microglia"
"33","ENSG00000099725","PRKY","Microglia"
"34","ENSG00000261490","AC005674.2","Oligo"
"35","ENSG00000261490","AC005674.2","OPC"
"36","ENSG00000102755","FLT1","OPC"
"37","ENSG00000157554","ERG","OPC"
