"Image Location","Analysis Region","Algorithm Name","Object Id","XMin","XMax","YMin","YMax","POU4F1+ Hb Nuclei","Non-Fluoro Nuclei","CRH+ Nuclei","CRH+ POU4F1-","MCOLN+POU4F1-","MCOLN3+ Nuclei","ESRP1+ Nuclei","ESRP1+POUF41-","CRH+MCOLN3+","CRH+MOCLN3+POU4F1-","CRH+ESRP1+","CRH+ESRP1+POU4F1-","MCOLN3+ESRP1+","MCOLN3+ESRP1+POU4F1-","CRH+MCOLN3+ESRP1+","CRH+MCOLN3+ESRP1+POU4F1-","20x DAPI Positive","20x DAPI Positive Nucleus","20x DAPI Nucleus Intensity","20x DAPI Positive Cytoplasm","20x DAPI Cytoplasm Intensity","POU4F1 - 520 Copies","POU4F1 - 520 Area (µm²)","POU4F1 - 520 Classification","POU4F1 - 520 Cell Intensity","POU4F1 - 520 Avg Intensity","CRH - 570 Copies","CRH - 570 Area (µm²)","CRH - 570 Classification","CRH - 570 Cell Intensity","CRH - 570 Avg Intensity","MCOLN3 - 620 Copies","MCOLN3 - 620 Area (µm²)","MCOLN3 - 620 Classification","MCOLN3 - 620 Cell Intensity","MCOLN3 - 620 Avg Intensity","ESRP1 - 690 Copies","ESRP1 - 690 Area (µm²)","ESRP1 - 690 Classification","ESRP1 - 690 Cell Intensity","ESRP1 - 690 Avg Intensity","Cell Area (µm²)","Cytoplasm Area (µm²)","Nucleus Area (µm²)","Nucleus Perimeter (µm)","Nucleus Roundness"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br9090_LHb_Panel2_20X\Br9090_LHb_Panel_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotypes_LHb_Panel2_br9090","0","5275","5295","3112","3140","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3620.4084","0","315.587","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","91.59557","57.276337","34.319237","25.031857","0.81444"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br9090_LHb_Panel2_20X\Br9090_LHb_Panel_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotypes_LHb_Panel2_br9090","1","5282","5309","3152","3183","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3663.68","0","308.75372","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","128.52252","87.358055","41.16446","28.484526","0.832169"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br9090_LHb_Panel2_20X\Br9090_LHb_Panel_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotypes_LHb_Panel2_br9090","2","5510","5543","3161","3194","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2023.099","0","302.60782","0","0","0","0","0","1","0.884756","1","654.8129","740.1053","0","0","0","0","0","0","0","0","0","0","150.17577","98.906456","51.269306","34.5267","0.671885"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br9090_LHb_Panel2_20X\Br9090_LHb_Panel_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotypes_LHb_Panel2_br9090","3","5286","5310","3186","3206","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1621.7073","0","158.40906","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73.015686","59.65121","13.364479","15.968598","0.808639"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br9090_LHb_Panel2_20X\Br9090_LHb_Panel_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotypes_LHb_Panel2_br9090","4","5500","5534","3201","3225","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2887.2625","0","419.53592","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.64917","64.82005","32.82912","31.074028","0.59813"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br9090_LHb_Panel2_20X\Br9090_LHb_Panel_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotypes_LHb_Panel2_br9090","5","4962","4985","3613","3635","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","2678.7449","0","274.18076","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1.210719","1","917.77185","758.03845","73.71418","60.02374","13.690442","15.968598","0.822812"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br9090_LHb_Panel2_20X\Br9090_LHb_Panel_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotypes_LHb_Panel2_br9090","6","4912","4938","3641","3665","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3328.5898","0","330.99066","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","91.78184","69.75606","22.02578","20.284435","0.875543"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br9090_LHb_Panel2_20X\Br9090_LHb_Panel_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotypes_LHb_Panel2_br9090","7","5147","5183","3642","3669","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3412.41","0","350.08902","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","138.62737","96.25219","42.375175","32.80036","0.614553"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br9090_LHb_Panel2_20X\Br9090_LHb_Panel_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotypes_LHb_Panel2_br9090","8","4921","4954","3667","3689","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3380.1","0","372.44266","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114.73894","84.051865","30.687078","25.679232","0.6543"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br9090_LHb_Panel2_20X\Br9090_LHb_Panel_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotypes_LHb_Panel2_br9090","9","5018","5049","3688","3716","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2524.9275","0","343.2031","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","128.80191","87.12523","41.676685","28.052942","0.874076"
