"Image Location","Analysis Region","Algorithm Name","Object Id","XMin","XMax","YMin","YMax","No Fluoro Nuclei","POU4F1+ Nuclei","SEMA3D+ Nuclei","SEMA3D+POU4F1-","TLE2+ Nuclei","TLE2+POU4F1-","ONECUT2+ Nuclei","ONECUT2+POU4F1-","SEMA3D+TLE2+","SEMA3D+TLE2+POU4F1-","SEMA3D+ONECUT2+","SEMA3D+ONECUT2+POU4F1-","TLE2+ONECUT2+","TLE2+ONECUT2+POU4F1-","SEMA3D+TLE2+ONECUT2+","POU4F1-SEMA3D+TLE2+ONECUT2+","20x DAPI Positive","20x DAPI Positive Nucleus","20x DAPI Nucleus Intensity","20x DAPI Positive Cytoplasm","20x DAPI Cytoplasm Intensity","POU4F1 - 520 Copies","POU4F1 - 520 Area (µm²)","POU4F1 - 520 Classification","POU4F1 - 520 Cell Intensity","POU4F1 - 520 Avg Intensity","SEMA3D - 570 Copies","SEMA3D - 570 Area (µm²)","SEMA3D - 570 Classification","SEMA3D - 570 Cell Intensity","SEMA3D - 570 Avg Intensity","TLE2 - 620 Copies","TLE2 - 620 Area (µm²)","TLE2 - 620 Classification","TLE2 - 620 Cell Intensity","TLE2 - 620 Avg Intensity","ONECUT2 - 690 Copies","ONECUT2 - 690 Area (µm²)","ONECUT2 - 690 Classification","ONECUT2 - 690 Cell Intensity","ONECUT2 - 690 Avg Intensity","Cell Area (µm²)","Cytoplasm Area (µm²)","Nucleus Area (µm²)","Nucleus Perimeter (µm)","Nucleus Roundness"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","0","1852","1883","1062","1088","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1187.0723","0","116.64627","0","0","0","0","0","0","0","0","0","0","9","4.56348","2","5839.8115","1279.6837","0","0","0","0","0","119.81465","83.7259","36.08875","26.758192","0.781588"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","1","1591","1618","1069","1100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","2405.908","0","379.77274","0","0","0","0","0","28","5.867332","4","17638.365","3006.1985","11","6.286427","3","6253.086","994.6963","34","18.719584","4","19966.672","1066.6194","123.95904","86.05421","37.904827","27.189775","0.790509"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","2","1905","1935","1074","1106","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","2176.3132","0","289.0443","0","0","0","0","0","0","0","0","0","0","4","2.142042","2","2461.9978","1149.3695","1","0.60536","1","464.2643","766.9231","143.60994","91.40931","52.20063","32.80036","0.80121"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","3","1677","1711","1084","1113","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","2063.0967","0","277.8854","0","0","0","0","0","0","0","0","0","0","27","15.506521","4","17297.594","1115.5045","9","4.516914","2","3888.6443","860.9072","145.23976","95.088036","50.151722","31.937197","0.795267"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","4","1985","2012","1085","1106","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1051.0315","0","128.178","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.60536","1","527.9202","872.0769","84.19156","66.44987","17.741695","18.5581","0.759739"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","5","1799","1827","1107","1139","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","3063.408","0","424.78677","0","0","0","0","0","0","0","0","0","0","1","1.071021","1","883.96484","825.34784","12","5.7742","3","4771.3984","826.3306","135.50743","90.19859","45.30884","29.347694","0.859273"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","6","1921","1948","1121","1148","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","2181.2063","0","440.67126","0","0","0","0","0","4","0.931323","2","2427.306","2606.3","0","0","0","0","0","6","4.097819","2","3639.0498","888.0455","108.452515","77.765434","30.687078","25.031857","0.750798"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","7","1841","1862","1135","1162","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","2074.1538","0","310.71323","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0.931323","1","742.49695","797.25","80.28001","63.329933","16.950071","18.5581","0.678991"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","8","1816","1841","1141","1165","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1256.4158","0","330.57846","0","0","0","0","0","0","0","0","0","0","2","1.303852","1","1377.6123","1056.5714","4","2.654269","2","2137.4785","805.2982","81.21133","63.5162","17.69513","19.63706","0.724052"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","9","1746","1769","1144","1170","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","2222.2224","0","318.7139","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","2.700835","2","2057.2915","761.7241","85.77481","66.72926","19.045547","18.989683","0.808042"
