"Image Location","Analysis Region","Algorithm Name","Object Id","XMin","XMax","YMin","YMax","No Fluoro Nuclei","POU4F1+ Nuclei","SEMA3D+ Nuclei","SEMA3D+POU4F1-","TLE2+ Nuclei","TLE2+POU4F1-","ONECUT2+ Nuclei","ONECUT2+POU4F1-","SEMA3D+TLE2+","SEMA3D+TLE2+POU4F1-","SEMA3D+ONECUT2+","SEMA3D+ONECUT2+POU4F1-","TLE2+ONECUT2+","TLE2+ONECUT2+POU4F1-","SEMA3D+TLE2+ONECUT2+","POU4F1-SEMA3D+TLE2+ONECUT2+","20x DAPI Positive","20x DAPI Positive Nucleus","20x DAPI Nucleus Intensity","20x DAPI Positive Cytoplasm","20x DAPI Cytoplasm Intensity","POU4F1 - 520 Copies","POU4F1 - 520 Area (µm²)","POU4F1 - 520 Classification","POU4F1 - 520 Cell Intensity","POU4F1 - 520 Avg Intensity","SEMA3D - 570 Copies","SEMA3D - 570 Area (µm²)","SEMA3D - 570 Classification","SEMA3D - 570 Cell Intensity","SEMA3D - 570 Avg Intensity","TLE2 - 620 Copies","TLE2 - 620 Area (µm²)","TLE2 - 620 Classification","TLE2 - 620 Cell Intensity","TLE2 - 620 Avg Intensity","ONECUT2 - 690 Copies","ONECUT2 - 690 Area (µm²)","ONECUT2 - 690 Classification","ONECUT2 - 690 Cell Intensity","ONECUT2 - 690 Avg Intensity","Cell Area (µm²)","Cytoplasm Area (µm²)","Nucleus Area (µm²)","Nucleus Perimeter (µm)","Nucleus Roundness"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","10","1954","1988","1146","1178","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","2301.9827","0","278.46182","0","0","0","0","0","0","0","0","0","0","1","0.745058","1","626.7335","841.1875","4","2.188608","2","1807.7903","826","158.93019","99.418686","59.511513","34.958282","0.888193"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","11","1827","1857","1157","1186","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","3224.7158","0","422.9121","0","0","0","0","0","0","0","0","0","0","6","2.747401","2","3482.1685","1267.4407","21","11.594966","4","12296.484","1060.502","121.397896","81.07163","40.326267","28.484526","0.886557"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","12","1894","1929","1162","1193","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","3124.1235","0","566.921","0","0","0","0","0","3","0.558794","1","1665.4841","2980.5","2","1.071021","1","921.03143","859.95654","5","3.119931","2","2638.1575","845.5821","157.11412","86.65957","70.45455","41.000454","0.663776"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","13","1781","1804","1164","1190","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","2541.2773","0","359.4609","0","0","0","0","0","0","0","0","0","0","11","6.565824","3","6918.5625","1053.7234","8","4.749745","2","4210.649","886.5","85.58855","67.288055","18.30049","19.421268","0.720224"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","14","1924","1946","1180","1206","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","2980.416","0","532.0076","0","0","0","0","0","0","0","0","0","0","11","7.078052","3","7014.815","991.0658","3","1.722947","1","1529.7904","887.8919","87.07866","54.948032","32.13063","25.031857","0.783365"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","15","1671","1693","1186","1208","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1867.9861","0","259.75354","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","4.749745","3","3779.1672","795.65686","72.50346","59.138985","13.364479","15.105431","0.915723"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","16","1899","1924","1200","1228","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2621.66","0","461.94504","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.34532","47.450886","48.894436","32.36878","0.792284"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","17","1882","1910","1213","1236","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","2107.7302","0","261.242","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1.722947","1","1438.4277","834.86487","88.00999","56.76411","31.245872","25.031857","0.731826"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","18","1845","1877","1218","1245","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","2799.2432","0","421.87772","0","0","0","0","0","0","0","0","0","0","1","0.558794","1","503.84552","901.6667","0","0","0","0","0","118.510796","74.64551","43.86529","31.937197","0.689792"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","19","1820","1853","1226","1258","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","2724.2964","0","520.30994","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2.235174","2","2349.4941","1051.1459","144.54126","85.63511","58.906155","37.1162","0.73002"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","20","1617","1658","1242","1269","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2571.3345","0","274.84998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","159.44243","103.05084","56.391582","36.684616","0.673786"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","21","1745","1780","1248","1280","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","2153.965","0","216.14143","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1.722947","1","1674.2386","971.72974","166.52048","102.39892","64.12156","35.82145","0.869664"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","22","1618","1644","1266","1291","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","892.31775","0","101.91332","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.928566","71.991234","25.937334","23.305521","0.794889"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","23","1769","1795","1283","1315","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","2228.7542","0","296.64102","0","0","0","0","0","0","0","0","0","0","10","5.075708","3","5774.2","1137.6146","2","0.791624","1","590.4585","745.8823","126.52017","79.90748","46.612694","30.642445","0.878918"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","24","1746","1770","1283","1309","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","2499.0745","0","223.7106","0","0","0","0","0","0","0","0","0","0","1","0.884756","1","775.46576","876.4737","0","0","0","0","0","97.462906","66.775826","30.687078","24.600273","0.831423"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","25","1642","1678","1286","1321","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","2068.4248","0","187.25845","0","0","0","0","0","3","0.745058","1","2060.8306","2766","25","9.126961","4","15524.355","1700.9337","0","0","0","0","0","187.89433","110.08233","77.812004","39.27412","0.924064"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","26","1836","1866","1292","1321","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","2647.068","0","422.6004","0","0","0","0","0","0","0","0","0","0","88","28.824434","4","54678.973","1896.9661","4","1.909211","2","2055.2427","1076.4878","117.30008","71.43244","45.867638","30.642445","0.887225"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","27","1469","1501","1716","1749","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","2707.851","0","353.1774","0","0","0","0","0","0","0","0","0","0","3","1.303852","1","972.53357","745.8929","3","1.117587","1","861.89246","771.2083","142.77174","95.553696","47.218056","33.23195","0.735327"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","28","1383","1409","1719","1743","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2674.6995","0","325.68048","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89.73293","68.49877","21.234154","20.284435","0.842593"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","29","1192","1216","1725","1748","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1119.7559","0","89.03079","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.558794","1","448.0593","801.8333","79.53495","63.5162","16.018747","17.910725","0.810626"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","30","1218","1251","1748","1779","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","2379.6277","0","316.50934","0","0","0","0","0","0","0","0","0","0","2","1.536682","1","1239.3575","806.51514","1","0.60536","1","477.06998","788.0769","146.40392","94.622375","51.781536","32.80036","0.836958"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","31","1376","1406","1749","1784","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1576.6296","0","150.92438","0","0","0","0","0","0","0","0","0","0","5","2.374872","2","2912.106","1226.2157","0","0","0","0","0","142.58548","96.065926","46.51956","34.5267","0.693546"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","32","1404","1437","1752","1787","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","2531.6116","0","435.55988","0","0","0","0","0","0","0","0","0","0","70","17.369165","4","43098.535","2481.3245","0","0","0","0","0","156.6019","94.48267","62.119217","36.253033","0.876566"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","33","1470","1500","1760","1796","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","2588.0164","0","404.83588","0","0","0","0","0","0","0","0","0","0","8","4.842877","2","4681.712","966.7211","1","0.419095","1","333.73944","796.3333","148.87192","97.32321","51.548706","34.095116","0.788065"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","34","1546","1579","1761","1794","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","3040.7935","0","294.42087","0","0","0","0","0","0","0","0","0","0","4","2.747401","2","2291.007","833.88135","11","6.286427","3","6402.889","1018.52594","151.38649","96.81098","54.575504","34.095116","0.86573"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","35","1430","1464","1766","1794","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","884.29913","0","232.10252","0","0","0","0","0","2","0.465661","1","1246.9944","2677.9","101","35.62309","4","62408.438","1751.9098","0","0","0","0","0","133.97075","90.38486","43.585896","31.505611","0.709031"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","36","1263","1290","1771","1790","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","2180.506","0","287.12985","0","0","0","0","0","10","2.002343","3","5912.874","2952.9768","2","1.44355","1","1223.8976","847.8387","4","1.955777","2","2672.1506","1366.2858","80.46627","61.32759","19.13868","18.989683","0.724139"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","37","1261","1305","1785","1827","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","735.8015","0","121.57337","0","0","0","0","0","0","0","0","0","0","155","43.77216","4","93581.44","2137.9214","2","1.490116","1","1161.0798","779.1875","265.56662","136.76472","128.80191","54.811134","0.768437"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","38","1471","1502","1804","1836","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","2649.0425","0","371.90753","0","0","0","0","0","3","0.651926","1","1777.8016","2727","1","0.372529","1","280.1418","752","0","0","0","0","0","139.41899","92.154366","47.26462","30.858236","0.829773"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","39","1497","1531","1817","1858","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1745.3888","0","236.67743","0","0","0","0","0","19","3.678724","4","11708.588","3182.785","2","1.071021","1","1086.1549","1014.13043","0","0","0","0","0","185.98512","112.4572","73.527916","41.432037","0.740597"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","40","1542","1574","1826","1846","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","2789.8833","0","350.20657","0","0","0","0","0","0","0","0","0","0","4","2.654269","2","2175.7092","819.7018","0","0","0","0","0","101.700424","56.577847","45.122578","29.347694","0.792633"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","41","1453","1493","1835","1874","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","2250.9937","0","256.3208","0","0","0","0","0","0","0","0","0","0","1","0.325963","1","232.31842","712.7143","2","1.44355","1","1218.2631","843.9355","211.78276","123.819336","87.96342","47.042625","0.76595"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","42","1314","1353","1838","1871","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","2680.0808","0","341.39932","0","0","0","0","0","0","0","0","0","0","2","0.977889","1","740.54114","757.2857","1","0.651926","1","504.35773","773.6429","182.95831","109.15101","73.80731","39.705704","0.815739"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHB_Panel1_20X\Br8433_LHb_Panel1_20X_MaxIntensity_Stitched_UNMIX-MaxIP.nd2","Layer 1","16Phenotype_LHb_Panel1","43","1552","1576","1847","1865","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","2080.8318","0","518.9836","0","0","0","0","0","5","1.117587","2","3185.4026","2850.25","24","8.6613","4","14637.83","1690.0269","0","0","0","0","0","71.43244","22.72427","48.70817","31.074028","0.783103"
