"Image Location","Analysis Region","Algorithm Name","Object Id","XMin","XMax","YMin","YMax","POU4F1+ Hb Nuclei","Non-Fluoro Nuclei","CRH+ Nuclei","CRH+ POU4F1-","MCOLN+POU4F1-","MCOLN3+ Nuclei","ESRP1+ Nuclei","ESRP1+POUF41-","CRH+MCOLN3+","CRH+MOCLN3+POU4F1-","CRH+ESRP1+","CRH+ESRP1+POU4F1-","MCOLN3+ESRP1+","MCOLN3+ESRP1+POU4F1-","CRH+MCOLN3+ESRP1+","CRH+MCOLN3+ESRP1+POU4F1-","20x DAPI Positive","20x DAPI Positive Nucleus","20x DAPI Nucleus Intensity","20x DAPI Positive Cytoplasm","20x DAPI Cytoplasm Intensity","POU4F1 - 520 Copies","POU4F1 - 520 Area (µm²)","POU4F1 - 520 Classification","POU4F1 - 520 Cell Intensity","POU4F1 - 520 Avg Intensity","CRH - 570 Copies","CRH - 570 Area (µm²)","CRH - 570 Classification","CRH - 570 Cell Intensity","CRH - 570 Avg Intensity","MCOLN3 - 620 Copies","MCOLN3 - 620 Area (µm²)","MCOLN3 - 620 Classification","MCOLN3 - 620 Cell Intensity","MCOLN3 - 620 Avg Intensity","ESRP1 - 690 Copies","ESRP1 - 690 Area (µm²)","ESRP1 - 690 Classification","ESRP1 - 690 Cell Intensity","ESRP1 - 690 Avg Intensity","Cell Area (µm²)","Cytoplasm Area (µm²)","Nucleus Area (µm²)","Nucleus Perimeter (µm)","Nucleus Roundness"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHb_Panel2_20X\Br8433_LHb_Panel2_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotypes_LHb_Panel2","0","3775","3801","1155","1184","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","935.4861","0","196.21474","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","106.4036","74.59894","31.804667","24.600273","0.877925"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHb_Panel2_20X\Br8433_LHb_Panel2_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotypes_LHb_Panel2","1","3756","3781","1167","1195","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1227.7615","0","246.75757","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85.63511","52.247196","33.387913","27.189775","0.782884"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHb_Panel2_20X\Br8433_LHb_Panel2_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotypes_LHb_Panel2","2","3787","3817","1200","1228","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","661.68463","0","152.67427","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120.8391","83.63277","37.206337","27.189775","0.843408"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHb_Panel2_20X\Br8433_LHb_Panel2_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotypes_LHb_Panel2","3","3816","3843","1275","1300","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1560.6893","0","220.40578","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103.88903","75.856224","28.03281","22.442354","0.869533"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHb_Panel2_20X\Br8433_LHb_Panel2_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotypes_LHb_Panel2","4","3760","3789","1307","1337","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","976.8034","0","177.42416","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","124.09873","85.961075","38.13766","28.91611","0.774177"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHb_Panel2_20X\Br8433_LHb_Panel2_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotypes_LHb_Panel2","5","3716","3746","1337","1369","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","477.04996","0","120.33213","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","131.59589","90.57112","41.02476","31.074028","0.738115"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHb_Panel2_20X\Br8433_LHb_Panel2_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotypes_LHb_Panel2","6","3804","3828","1350","1374","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2163.0486","0","388.9117","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","83.539635","64.35439","19.185246","18.989683","0.815766"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHb_Panel2_20X\Br8433_LHb_Panel2_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotypes_LHb_Panel2","7","3782","3813","1366","1395","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1865.8485","0","257.8603","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","130.618","86.65957","43.958424","29.347694","0.873491"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHb_Panel2_20X\Br8433_LHb_Panel2_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotypes_LHb_Panel2","8","3747","3771","1374","1404","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1039","0","233.48402","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","111.71214","80.140305","31.571835","25.031857","0.786448"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_LHb_Panel2_20X\Br8433_LHb_Panel2_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotypes_LHb_Panel2","9","3785","3814","1473","1504","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","718.3378","0","164.31944","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","128.52252","87.17179","41.350723","28.91611","0.845519"
