BrNum	snpPC1	snpPC2	snpPC3	snpPC4	snpPC5	snpPC6	snpPC7	snpPC8	snpPC9	snpPC10
Br1016	-0.00110712	0.0010625	-0.000124756	1.12061e-06	-0.00121542	0.00199924	-0.00273961	0.00274381	-0.00080047	-0.00312376
Br1023	-0.015106	0.00190262	0.0044411	0.00622257	-0.00361131	0.000704651	-0.0012963	0.00346628	0.000274162	-0.00297425
Br1034	-0.000767199	0.00346589	-2.76425e-05	0.00231559	-0.00852411	0.00457644	-0.000549288	-0.00384264	0.00188771	-0.00329057
Br1092	-0.00271469	0.00120773	-0.00038223	0.00164223	0.00576936	-0.00520379	-0.00745343	-0.000473159	0.00468278	0.00107093
Br1203	0.0016335	-0.00153571	-0.00340927	-0.000288734	-0.00533752	-0.00771743	-0.000594345	0.00100995	-0.0046255	-0.00351795
Br1204	-3.73846e-05	0.00711746	-0.00143752	-0.00650587	0.00226038	-0.00843501	0.000754048	-0.00936261	0.00496375	-0.0144679
Br1378	-0.00343168	-0.00186116	0.00227754	0.000867415	-0.00360935	-0.00120404	0.00225772	0.000354356	0.00353317	0.001407
Br1383	-0.00312232	-0.000579055	0.0017923	-6.58201e-05	0.000324789	0.00538303	-0.00161947	-0.00570733	0.00274544	0.000918337
Br1416	0.00227974	-0.00299643	-0.00118008	-0.00217487	-0.00483264	0.00186703	-0.00512012	-0.00798836	0.00222909	0.00463251
Br1425	-5.75578e-05	0.00454703	-0.00695815	0.00169262	0.00521263	0.00566658	0.00248719	-0.000907472	0.000365994	-0.00447401
Br1427	-0.0287493	-0.00444905	-0.00312211	-0.0126858	0.00495488	-0.00234427	0.0118006	-0.00162985	-0.00855627	0.00655366
Br1469	-0.000886254	0.00384045	-0.00142776	0.00485225	0.00212786	-0.000394902	0.00265381	0.00437201	0.00171846	0.000216919
Br1487	0.000258794	0.00343207	0.00503233	-0.00099604	-0.0023652	-0.00417393	-0.0011115	0.00344977	0.00332417	-0.0030109
Br1507	0.00308429	-0.000792358	0.002556	0.00178029	-0.00101072	-0.00284005	0.0026435	-0.00651815	-0.00126458	0.00107874
Br1526	-0.000328923	0.00119378	0.000384533	0.00380069	-0.00551014	0.00248153	-5.27201e-05	-0.000509752	-0.00619082	-0.00531241
Br1565	0.0033041	-0.00270277	0.00349904	-0.000467682	0.00335359	-0.00283841	-0.000468311	-0.000765086	-0.00324833	0.00146101
Br1637	0.00219559	-0.0070192	-0.00993416	0.00459877	-0.0127241	-0.00717333	0.00428751	-0.00944408	-0.00508005	-7.60297e-05
Br1676	-0.0136015	0.00254031	0.00656435	0.00656948	-0.00765201	0.00153546	0.00138868	-0.00142508	-0.000935797	-0.00298186
Br1682	0.00261175	-0.00179752	0.000949207	-0.00538411	-0.0105242	-0.000296641	0.000127718	0.00163739	0.000932852	0.0080146
Br1735	0.00128715	-0.00022662	0.00372375	0.00713685	-0.00812477	-0.00272783	0.000486536	-0.0104201	0.000851433	-0.00226596
Br1738	0.00550445	-0.00563726	0.000656047	-0.00132022	-0.00629129	8.00618e-05	-0.00107588	0.00531887	-0.00468821	0.00229938
Br1761	0.00357028	0.00182498	0.0100946	-0.0010049	0.00345772	-0.00280518	0.00068124	0.00201487	-0.00605604	0.000482837
Br1842	0.000741895	-0.00306202	-0.00124832	-0.0100451	-0.00213359	0.00379241	-0.000919408	-0.00460621	-0.00541537	-0.00411436
Br1980	-0.0033465	0.00548139	0.00239065	0.000125962	0.00123776	0.00366396	-0.000978069	0.00273372	-0.00282348	-0.00423288
Br2015	-0.0107366	0.00125294	0.00079092	0.00301776	-0.001196	-0.00371631	-0.00477492	0.00253304	0.00349825	0.00345349
Br2044	0.00287879	-0.00452905	-0.00250326	-0.00490693	-0.00495656	-0.00377478	-0.00142292	0.00903662	0.00911924	0.00576039
Br2052	-0.00495095	0.00223168	0.00174183	0.0051557	0.00259878	-0.000227071	-0.00776202	0.00551535	0.011359	0.000810941
Br2080	0.00124224	0.00557825	0.00304825	-0.00366113	0.00193807	0.00944472	0.00785108	0.00241248	-0.00203934	0.00651566
Br2292	-0.000818844	0.000123246	-0.00802735	-0.00271322	-0.00101091	0.00820166	0.00912988	0.00784112	-0.00412996	-0.00172888
Br2378	-0.00264206	-0.00259875	0.00287355	-0.00190318	-0.00241654	-0.000989555	-0.00235931	-0.00154286	0.00047041	0.00173363
Br2421	0.00317583	-0.00286197	-0.0121635	-0.00602217	-0.00541286	-0.000930936	0.00718641	0.00247719	0.00598027	-0.0159928
Br2425	0.00632858	-0.00385259	-0.00402619	-0.00454373	-0.00427562	0.00205301	0.00675127	-0.00862349	0.00790002	0.0122162
Br2476	0.000686955	0.00340347	-0.00702328	-0.00654829	-0.002292	0.000647628	-0.0106282	0.00497348	0.010705	-0.00124165
Br2589	-0.00378725	-0.00182608	0.000110492	-0.000548736	-0.00072987	-0.00104115	0.000217879	-0.000602238	0.00089426	-5.27803e-05
Br5212	0.00430302	-0.00710278	0.00500708	0.0062182	-0.00658866	0.00177789	-0.00633786	0.00349214	0.00116742	0.00180401
Br5234	0.00361153	0.00128174	-0.000284887	-0.00630026	0.00148424	-0.00443161	-0.00109097	-0.0102597	-0.000982016	0.00382883
Br5292	0.00261032	-0.000935551	-0.00157607	0.00257731	-0.00356017	0.00810954	-0.0116091	0.00220095	-0.00947153	-0.0109219
Br5319	0.00368068	0.00288647	0.00353708	0.000453685	0.00414828	0.00366215	0.00981544	0.000960862	0.00320419	0.0107282
Br5385	0.00020586	0.00250609	-0.00474274	-3.22133e-05	0.000196478	-0.00616141	0.00648748	0.0151642	-0.000787263	0.00163389
Br5398	0.00258028	0.00275657	0.0019391	0.000982066	0.0112314	0.00207043	-0.00031494	0.0126791	-0.00317857	-0.00200196
Br5412	0.00324814	-0.000653125	0.00936086	0.000347032	0.00696129	-0.00475152	-0.00569778	-0.000851482	-0.0023428	0.00393987
Br5446	-0.000295471	-0.00175319	-0.000919433	-0.00286985	0.00403217	0.000776106	-0.00901649	0.00139857	0.00213364	-0.000688693
Br5459	6.16226e-05	-0.00117844	-0.00692395	0.00750013	0.00212252	0.00582118	-0.00476886	-0.00095832	0.00162281	0.00243883
Br5488	0.00146014	-0.00400708	-0.00514777	0.00343735	0.00754983	0.00562107	-0.00833574	-0.00597833	-0.00362055	-0.00152023
Br5555	0.00446785	8.45423e-05	-0.00665631	-0.00772948	0.00200012	0.00757747	-0.00261351	0.00160633	-0.0063501	0.00235705
Br5558	0.00701067	0.00883027	0.0227747	-0.0133992	-0.00870276	0.00486987	0.00439616	0.00470379	0.00107717	-0.00767665
Br5573	0.00187232	-0.00152118	-0.00148914	0.00322409	-0.000488288	0.0054205	-0.00508181	-0.00118685	-0.00393963	-0.00146773
Br5581	0.00240396	-0.00758039	-0.00786536	-0.00332232	-0.01129	0.00494733	-0.00250923	0.00886334	-0.0119482	0.00822392
Br5639	0.00176577	-0.00790683	-0.00488976	-0.00452995	0.00121045	-0.00720232	-0.00454073	0.00411738	0.0071848	0.00728609
Br5702	0.00491872	-0.00201765	0.00266468	0.00739666	0.00130628	-0.00740501	0.00628865	0.000317857	-0.0140224	0.00266144
Br5712	-3.45312e-05	0.000906281	-0.0024538	0.00783536	0.00675129	0.00106609	-0.00751872	0.0014837	0.00901848	0.00881019
Br5756	-0.00472911	0.00325942	-0.00580926	-0.00590971	0.00655927	-0.0027314	0.00292863	-0.0132039	0.00813239	0.000882666
