BrNum	snpPC1	snpPC2	snpPC3	snpPC4	snpPC5	snpPC6	snpPC7	snpPC8	snpPC9	snpPC10
Br5871	0.00271233	0.00409062	0.00102693	0.00575025	0.00230558	0.0148832	0.00273906	-0.0109713	0.00318477	-0.000918536
Br5873	0.00203249	0.00143915	-0.0010338	-0.0114876	0.00691541	-0.00534376	-0.00552594	-0.000151673	-0.00468919	-0.00907146
Br5888	0.00572373	0.00199122	0.00142858	-0.00232959	0.00601868	0.00876348	0.0123045	-0.00271233	0.00485195	0.00200056
Br5891	0.00299072	0.00733461	-0.00302112	1.69625e-05	0.00999277	0.00100331	-0.00413555	0.00569864	0.000231887	-0.000428352
Br6070	0.00621798	0.0112859	0.00458962	0.00947183	-0.00469994	-0.0109702	0.0112517	0.00396374	0.00694453	0.00352725
Br6104	0.00217315	-0.00219679	0.00754486	-0.00169996	0.00234922	-0.0040441	-0.00134579	-0.00380648	-0.00526366	0.00435747
Br6197	0.000467404	0.00191508	0.00371582	0.00521776	0.00145785	0.0154063	-0.000193051	-0.00333826	-0.000973037	0.00532606
Br6264	0.00545159	0.00476657	-0.0105077	0.0158622	0.00127473	-0.00464602	0.00965927	-0.00155236	-0.000999593	-0.00977867
Br6323	-0.000755792	0.00349006	-0.00533822	0.00751206	0.000855385	-0.00565101	0.00224328	0.00341616	-0.00287901	0.00715247
Br8048	0.00188752	-0.000215344	-0.00585638	-0.00768191	0.00295617	0.00177413	0.00704981	0.00666171	0.00785033	-0.005529
Br8050	0.00293966	0.00435883	-0.000875421	0.00042407	0.0143999	-0.00849306	-0.000399292	-0.00398886	-0.0151904	0.00291114
Br8218	0.00141132	-0.0338474	0.0113789	0.00595113	0.0118171	0.000101145	0.00885989	0.00215151	0.007417	-0.0111922
Br983	0.00493284	0.00143174	0.00493473	-0.00656602	-0.00144034	-0.010254	-0.0066392	-0.00636012	0.000848068	0.00210605
Br1225	-0.0153225	0.000700079	0.00490451	0.00380561	-0.00405127	0.00176199	-0.0019356	0.00113262	0.00106688	-0.0027036
Br1350	-0.0042182	0.000710313	0.00016	-0.00139089	0.000113882	0.00118337	-0.00106718	-0.00407867	0.00053618	-0.000975055
Br6158	-0.0023778	0.00301204	0.000492836	0.00327247	-0.00266807	-0.00777391	-0.00312576	0.00186423	-0.0014158	-0.00286917
